# T9	Mean Rate	One Sigma
0.001	6385684000.0	1.0211318
0.0010186	6381609000.0	1.0211321
0.0010376	6377500700.0	1.0211323
0.0010569	6373356000.0	1.0211327
0.0010766	6369176000.0	1.0211331
0.0010967	6364961000.0	1.0211333
0.0011171	6360709000.0	1.0211337
0.0011379	6356421600.0	1.0211339
0.0011591	6352097300.0	1.0211343
0.0011807	6347736600.0	1.0211346
0.0012027	6343338500.0	1.0211349
0.0012251	6338903000.0	1.0211352
0.0012479	6334429700.0	1.0211356
0.0012712	6329919000.0	1.0211359
0.0012949	6325369300.0	1.0211363
0.001319	6320782000.0	1.0211366
0.0013436	6316155400.0	1.0211369
0.0013686	6311489500.0	1.0211372
0.0013941	6306785000.0	1.0211376
0.0014201	6302040000.0	1.021138
0.0014465	6297255000.0	1.0211383
0.0014735	6292430300.0	1.0211387
0.0015009	6287565300.0	1.021139
0.0015289	6282658300.0	1.0211394
0.0015573	6277711000.0	1.0211399
0.0015864	6272722000.0	1.0211402
0.0016159	6267691000.0	1.0211406
0.001646	6262617600.0	1.0211409
0.0016767	6257502700.0	1.0211413
0.0017079	6252344300.0	1.0211418
0.0017397	6247143000.0	1.0211421
0.0017721	6241898500.0	1.0211425
0.0018051	6236610600.0	1.021143
0.0018388	6231278600.0	1.0211433
0.001873	6225901600.0	1.0211438
0.0019079	6220481000.0	1.0211442
0.0019435	6215015400.0	1.0211446
0.0019797	6209503700.0	1.021145
0.0020166	6203947000.0	1.0211455
0.0020541	6198344700.0	1.0211458
0.0020924	6192696000.0	1.0211463
0.0021314	6187000000.0	1.0211468
0.0021711	6181257700.0	1.0211471
0.0022115	6175468000.0	1.0211476
0.0022527	6169630000.0	1.0211481
0.0022947	6163745300.0	1.0211486
0.0023374	6157812000.0	1.021149
0.002381	6151830500.0	1.0211495
0.0024253	6145800700.0	1.02115
0.0024705	6139720000.0	1.0211505
0.0025165	6133590500.0	1.021151
0.0025634	6127411000.0	1.0211514
0.0026112	6121181700.0	1.0211519
0.0026598	6114901500.0	1.0211524
0.0027094	6108569600.0	1.021153
0.0027598	6102187500.0	1.0211535
0.0028112	6095752700.0	1.0211539
0.0028636	6089266000.0	1.0211544
0.002917	6082727400.0	1.021155
0.0029713	6076135000.0	1.0211555
0.0030266	6069489700.0	1.0211561
0.003083	6062789600.0	1.0211565
0.0031405	6056035300.0	1.0211571
0.003199	6049227000.0	1.0211577
0.0032586	6042362400.0	1.0211582
0.0033193	6035442000.0	1.0211588
0.0033811	6028464600.0	1.0211594
0.0034441	6021429000.0	1.02116
0.0035082	6014335500.0	1.0211605
0.0035736	6007182300.0	1.0211612
0.0036402	5999969000.0	1.0211618
