# T9	Mean Rate	One Sigma
0.001	0.0014388564	1.1510564
0.0010186	0.0014252394	1.1510655
0.0010376	0.0014117426	1.1510751
0.0010569	0.0013983665	1.1510835
0.0010766	0.0013851087	1.151093
0.0010967	0.0013719687	1.151102
0.0011171	0.0013589446	1.1511124
0.0011379	0.0013460359	1.1511222
0.0011591	0.0013332412	1.1511325
0.0011807	0.00132056	1.1511419
0.0012027	0.0013079902	1.1511528
0.0012251	0.0012955323	1.1511631
0.0012479	0.0012831833	1.1511741
0.0012712	0.0012709431	1.1511855
0.0012949	0.0012588109	1.1511961
0.001319	0.0012467847	1.1512079
0.0013436	0.0012348647	1.1512196
0.0013686	0.0012230489	1.1512314
0.0013941	0.0012113368	1.1512438
0.0014201	0.0011997272	1.1512563
0.0014465	0.0011882194	1.1512684
0.0014735	0.0011768116	1.1512814
0.0015009	0.0011655036	1.1512945
0.0015289	0.0011542941	1.1513076
0.0015573	0.0011431818	1.151322
0.0015864	0.0011321666	1.1513352
0.0016159	0.0011212471	1.1513492
0.001646	0.0011104217	1.1513642
0.0016767	0.0010996906	1.1513785
0.0017079	0.0010890518	1.1513938
0.0017397	0.0010785053	1.1514087
0.0017721	0.0010680498	1.1514238
0.0018051	0.0010576838	1.1514399
0.0018388	0.0010474072	1.1514565
0.001873	0.0010372192	1.1514719
0.0019079	0.0010271178	1.1514893
0.0019435	0.0010171034	1.1515058
0.0019797	0.0010071745	1.151524
0.0020166	0.0009973302	1.1515409
0.0020541	0.0009875695	1.1515594
0.0020924	0.0009778922	1.1515777
0.0021314	0.00096829655	1.1515968
0.0021711	0.0009587828	1.1516151
0.0022115	0.0009493489	1.151635
0.0022527	0.00093999435	1.1516552
0.0022947	0.00093071914	1.1516752
0.0023374	0.0009215215	1.1516966
0.002381	0.0009124012	1.1517172
0.0024253	0.0009033573	1.1517379
0.0024705	0.0008943886	1.1517597
0.0025165	0.0008854942	1.1517829
0.0025634	0.00087667425	1.1518052
0.0026112	0.00086792716	1.1518279
0.0026598	0.0008592525	1.1518514
0.0027094	0.00085064926	1.1518759
0.0027598	0.0008421169	1.1519003
0.0028112	0.00083365437	1.1519254
0.0028636	0.00082526106	1.1519508
0.002917	0.0008169363	1.1519763
0.0029713	0.0008086792	1.1520032
0.0030266	0.00080048887	1.1520303
0.003083	0.00079236494	1.1520573
0.0031405	0.00078430655	1.1520853
0.003199	0.0007763125	1.1521138
0.0032586	0.00076838245	1.1521435
0.0033193	0.0007605158	1.1521728
0.0033811	0.00075271167	1.1522028
0.0034441	0.0007449693	1.152234
0.0035082	0.00073728804	1.1522646
0.0035736	0.00072966696	1.1522971
0.0036402	0.0007221057	1.1523297
0.003708	0.0007146035	1.1523625
0.0037771	0.0007071593	1.1523968
0.0038474	0.00069977273	1.1524309
0.0039191	0.0006924429	1.1524667
0.0039921	0.000685169	1.1525027
0.0040665	0.0006779509	1.1525397
0.0041422	0.0006707878	1.152576
0.0042194	0.00066367816	1.1526148
0.004298	0.0006566225	1.1526529
0.0043781	0.0006496192	1.1526929
0.0044596	0.00064266805	1.1527333
0.0045427	0.0006357681	1.1527749
0.0046273	0.00062891905	1.1528168
0.0047135	0.00062212005	1.1528593
0.0048013	0.0006153705	1.1529025
0.0048908	0.0006086695	1.1529473
0.0049819	0.0006020167	1.152992
0.0050747	0.0005954113	1.1530381
0.0051692	0.0005888525	1.1530851
0.0052655	0.0005823398	1.1531341
0.0053636	0.0005758727	1.1531821
0.0054636	0.0005694505	1.1532322
0.0055653	0.0005630722	1.1532831
0.005669	0.0005567375	1.153335
0.0057746	0.0005504457	1.1533874
0.0058822	0.000544196	1.1534415
0.0059918	0.0005379883	1.1534958
0.0061034	0.00053182116	1.153552
0.0062171	0.0005256946	1.1536093
0.0063329	0.0005196076	1.1536677
0.0064509	0.00051355985	1.1537269
0.0065711	0.0005075503	1.1537875
0.0066935	0.00050157896	1.1538489
0.0068182	0.0004956446	1.1539115
0.0069452	0.00048974686	1.1539757
0.0070746	0.00048388506	1.1540409
0.0072064	0.0004780586	1.1541076
0.0073406	0.00047226695	1.1541759
0.0074773	0.00046650955	1.1542442
0.0076166	0.00046078555	1.1543144
0.0077585	0.0004550944	1.154387
0.0079031	0.00044943573	1.1544604
0.0080503	0.0004438087	1.154535
0.0082003	0.00043821294	1.1546108
0.008353	0.00043264756	1.1546891
0.0085086	0.0004271122	1.1547675
0.0086671	0.00042160606	1.1548481
0.0088286	0.00041612875	1.1549304
0.0089931	0.0004106796	1.1550145
0.0091606	0.00040525806	1.1551001
0.0093313	0.00039986358	1.1551868
0.0095051	0.00039449547	1.1552757
0.0096822	0.00038915334	1.1553662
0.0098625	0.0003838363	1.1554594
0.0100463	0.00037854427	1.1555533
0.0102334	0.00037327633	1.1556488
0.010424	0.00036803214	1.155746
0.0106182	0.00036281085	1.1558471
0.010816	0.00035761239	1.1559482
0.0110175	0.00035243586	1.156052
0.0112228	0.00034728085	1.1561575
0.0114318	0.0003421469	1.1562649
0.0116448	0.0003370334	1.1563749
0.0118617	0.00033193993	1.1564865
0.0120827	0.00032686593	1.1566012
0.0123078	0.00032181115	1.1567161
0.0125371	0.00031677468	1.1568358
0.0127706	0.0003117564	1.1569568
0.0130085	0.0003067558	1.1570798
0.0132509	0.00030177244	1.1572051
0.0134977	0.0002968058	1.1573337
0.0137492	0.0002918556	1.1574641
0.0140053	0.00028692154	1.1575962
0.0142662	0.00028200293	1.1577322
0.014532	0.00027709967	1.15787
0.0148027	0.00027221118	1.1580118
0.0150785	0.00026733737	1.158155
0.0153593	0.00026247787	1.1583011
0.0156455	0.00025763235	1.1584506
0.0159369	0.00025280062	1.1586021
0.0162338	0.00024798224	1.1587579
0.0165362	0.00024317722	1.1589165
0.0168443	0.00023838527	1.1590779
0.0171581	0.00023360632	1.1592423
0.0174777	0.00022884022	1.1594098
0.0178033	0.00022408672	1.1595805
0.018135	0.00021934591	1.1597549
0.0184728	0.00021461782	1.1599315
0.0188169	0.00020990221	1.1601126
0.0191675	0.00020519922	1.1602981
0.0195246	0.00020050911	1.1604862
0.0198883	0.00019583176	1.1606783
0.0202588	0.00019116745	1.1608739
0.0206362	0.00018651638	1.1610736
0.0210206	0.00018187884	1.1612768
0.0214122	0.00017725503	1.1614851
0.0218111	0.00017264544	1.1616962
0.0222174	0.00016805038	1.1619128
0.0226313	0.00016347044	1.1621327
0.0230529	0.00015890603	1.1623577
0.0234823	0.0001543578	1.1625865
0.0239198	0.0001498264	1.1628207
0.0243654	0.00014531252	1.1630594
0.0248193	0.000140817	1.1633025
0.0252817	0.00013634068	1.1635511
0.0257526	0.00013188446	1.1638048
0.0262324	0.00012744946	1.1640631
0.0267211	0.0001230366	1.1643269
0.0272188	0.0001186472	1.1645961
0.0277259	0.00011428241	1.1648718
0.0282424	0.00010994359	1.1651529
0.0287685	0.00010563222	1.1654389
0.0293045	0.00010134974	1.1657324
0.0298504	9.7097756e-05	1.1660315
0.0304065	9.287799e-05	1.1663364
0.0309729	8.869223e-05	1.1666487
0.0315499	8.45424e-05	1.1669668
0.0321376	8.043039e-05	1.1672927
0.0327363	7.635834e-05	1.1676255
0.0333462	7.232842e-05	1.1679654
0.0339674	6.8342866e-05	1.1683133
0.0346002	6.440409e-05	1.1686687
0.0352447	6.0514594e-05	1.169032
0.0359013	5.6676872e-05	1.1694032
0.0365701	5.289367e-05	1.1697825
0.0372514	4.9167695e-05	1.1701709
0.0379453	4.550179e-05	1.170568
0.0386522	4.1898955e-05	1.1709747
0.0393723	3.8362206e-05	1.1713898
0.0401057	3.4894623e-05	1.1718135
0.0408529	3.1499418e-05	1.172248
0.0416139	2.817987e-05	1.1726907
0.0423891	2.4939325e-05	1.1731417
0.0431788	2.178116e-05	1.1736016
0.0439832	1.8708803e-05	1.1740698
0.0448025	1.5725815e-05	1.1745418
0.0456372	1.2835684e-05	1.1750109
0.0464873	1.0042005e-05	1.1754677
0.0473533	7.3483475e-06	1.1758865
0.0482355	4.7583294e-06	1.1761734
0.0491341	2.2755241e-06	1.175881
0.0903466	8.856586e-07	2.680232
0.0920297	4.0367595e-06	1.2894394
0.0937441	7.4921386e-06	1.1170435
0.0954904	1.1282786e-05	1.0613707
0.0972693	1.5445617e-05	1.0481007
0.0990814	2.0025238e-05	1.0510546
0.1009272	2.5073114e-05	1.0567135
0.1028073	3.065135e-05	1.0614746
