# T9	Mean Rate	One Sigma
0.0500494	1836.2979	1.04935
0.0509818	4406.202	1.4305192
0.0519315	6857.1167	1.5198991
0.0528989	9186.621	1.5544509
0.0538844	11396.393	1.5691447
0.0548882	13484.334	1.5739766
0.0559107	15450.083	1.5731685
0.0569523	17299.943	1.5688932
0.0580132	19030.299	1.561997
0.059094	20644.732	1.5528483
0.0601948	22152.834	1.5423003
0.0613162	23555.432	1.5302764
0.0624584	24856.322	1.5167227
0.063622	26065.25	1.5021212
0.0648072	27190.164	1.4861683
0.0660145	28237.562	1.4690162
0.0672443	29219.62	1.4508827
0.068497	30144.736	1.4313927
0.069773	31030.06	1.4110479
0.0710728	31883.668	1.3894484
0.0723968	32722.174	1.3667936
0.0737455	33561.453	1.3431253
0.0751193	34424.113	1.31883
0.0765187	35319.86	1.2936312
0.0779442	36279.266	1.2679919
0.0793962	37318.465	1.2420585
0.0808752	38460.94	1.2159766
0.0823819	39732.21	1.1901065
0.0839166	41161.586	1.164751
0.0854798	42775.95	1.1402007
0.0870722	44606.336	1.116744
0.0886943	46681.387	1.094493
0.0903466	49043.547	1.0742078
0.0920297	51718.668	1.0554681
0.0937441	54748.17	1.0387441
0.0954904	58178.656	1.0242686
0.0972693	62042.5	1.0117878
0.0990814	66387.49	1.0030955
0.1009272	71258.24	1.0084239
0.1028073	76705.28	1.0150571
0.1047225	82779.32	1.0201885
0.1066734	89529.03	1.0239258
0.1086606	97014.11	1.0264602
0.1106848	105298.1	1.0277538
0.1127468	114423.484	1.0283394
0.1148472	124471.08	1.0281279
0.1169866	135500.62	1.0273519
0.119166	147583.45	1.0261077
0.1213859	160786.17	1.0246327
0.1236472	175188.61	1.0229331
0.1259506	190864.16	1.0212116
0.128297	207916.52	1.0193048
0.130687	226399.88	1.0175216
0.1331216	246437.69	1.0157514
0.1356015	268092.97	1.0141681
0.1381276	291503.78	1.012599
0.1407008	316744.88	1.0112022
0.1433219	343940.56	1.0099902
0.1459919	373211.62	1.0089197
0.1487115	404678.9	1.0079678
0.1514819	438472.25	1.0072064
0.1543038	474727.12	1.0065699
0.1571784	513598.5	1.0060678
0.1601064	555239.6	1.0056828
0.1630891	599817.06	1.0053903
0.1661273	647501.3	1.0051748
0.169222	698480.7	1.0050554
0.1723745	752949.3	1.0049856
0.1755856	811134.9	1.0049739
0.1788566	873239.56	1.0049945
0.1821885	939527.2	1.0050322
0.1855825	1010210.44	1.005126
0.1890397	1085581.8	1.0052402
0.1925614	1165925.4	1.0053484
0.1961486	1251539.4	1.00546
0.1998026	1342735.2	1.005569
0.2035248	1439854.6	1.0056804
0.2073162	1543250.0	1.0058048
0.2111783	1653286.5	1.0058935
0.2151123	1770394.6	1.0059675
0.2191197	1894947.4	1.0060441
0.2232016	2027419.1	1.0060803
0.2273597	2168241.5	1.0060979
0.2315951	2317902.0	1.0061172
0.2359095	2476909.2	1.0060997
0.2403043	2645778.0	1.0060682
0.2447809	2825058.0	1.0060238
0.2493409	3015320.0	1.0059712
0.2539859	3217170.8	1.0058931
0.2587174	3431197.0	1.0058076
0.2635371	3657997.5	1.0057228
0.2684465	3898290.2	1.0056199
0.2734474	4152684.5	1.0055207
0.2785414	4421896.0	1.005416
0.2837304	4706616.0	1.005313
0.289016	5007598.0	1.0052048
0.2944	5325468.0	1.0051179
0.2998844	5661100.5	1.0050253
0.305471	6015141.0	1.0049435
0.3111616	6388422.5	1.0048661
0.3169582	6781648.5	1.0048019
0.3228628	7195632.5	1.004739
0.3288774	7631166.0	1.0046886
0.3350041	8088972.5	1.0046484
0.3412449	8569836.0	1.0046258
0.3476019	9074533.0	1.0046037
0.3540774	9603827.0	1.0045954
0.3606735	10158424.0	1.0046012
0.3673925	10739083.0	1.004611
0.3742366	11346581.0	1.0046315
0.3812083	11981520.0	1.0046589
0.3883098	12644634.0	1.004697
0.3955436	13336609.0	1.0047418
0.4029122	14058004.0	1.0047942
0.4104181	14809478.0	1.0048524
0.4180637	15591609.0	1.0049155
0.4258518	16404880.0	1.0049826
0.433785	17249834.0	1.0050564
0.441866	18126908.0	1.0051364
0.4500975	19036552.0	1.0052145
0.4584824	19979190.0	1.0052936
0.4670234	20955098.0	1.0053723
0.4757236	21964568.0	1.0054531
0.4845859	23007824.0	1.0055361
0.4936132	24085114.0	1.0056108
0.5028087	25196546.0	1.0056882
0.5121755	26342244.0	1.0057569
0.5217169	27522148.0	1.0058296
0.5314359	28736388.0	1.0058925
0.541336	29984696.0	1.0059519
0.5514206	31267054.0	1.006001
0.561693	32583220.0	1.0060498
0.5721568	33932984.0	1.00609
0.5828155	35315996.0	1.0061251
0.5936727	36731868.0	1.0061506
0.6047322	38180230.0	1.0061716
0.6159978	39660560.0	1.0061854
0.6274732	41172244.0	1.0061934
0.6391624	42714816.0	1.0061923
0.6510694	44287424.0	1.0061836
0.6631981	45889508.0	1.0061681
0.6755528	47520216.0	1.0061466
0.6881377	49178572.0	1.006121
0.700957	50864040.0	1.0060836
0.7140151	52575316.0	1.006047
0.7273165	54311644.0	1.0060017
0.7408657	56071776.0	1.0059551
0.7546673	57854870.0	1.005897
0.768726	59659468.0	1.0058379
0.7830465	61484610.0	1.0057762
0.7976339	63328830.0	1.0057108
0.812493	65191204.0	1.0056429
0.8276289	67070164.0	1.0055741
0.8430468	68964430.0	1.0055006
0.8587519	70872490.0	1.0054245
0.8747496	72793120.0	1.0053511
0.8910453	74724670.0	1.0052727
0.9076446	76665976.0	1.0052029
0.9245531	78614980.0	1.0051237
0.9417766	80570680.0	1.0050504
0.9593209	82531050.0	1.0049793
0.9771921	84494940.0	1.004906
0.9953962	86460500.0	1.0048404
1.0139395	88426296.0	1.0047723
1.0328281	90390550.0	1.0047108
1.0520687	92351590.0	1.00465
1.0716676	94307750.0	1.004588
1.0916317	96257570.0	1.0045317
1.1119677	98199380.0	1.0044852
1.1326826	100131600.0	1.0044338
1.1537833	102052540.0	1.004399
1.1752771	103960390.0	1.0043516
1.1971713	105853910.0	1.0043237
1.2194734	107731176.0	1.0042939
1.242191	109590710.0	1.0042675
1.2653318	111430680.0	1.0042399
1.2889036	113249710.0	1.0042218
1.3129146	115047120.0	1.0042113
1.3373729	116819420.0	1.004197
1.3622868	118567040.0	1.0041927
1.3876648	120288040.0	1.0041914
1.4135156	121980856.0	1.0041964
1.439848	123644424.0	1.0042086
1.4666709	125276296.0	1.0042154
1.4939935	126876344.0	1.004228
1.5218251	128442960.0	1.0042465
1.5501751	129975260.0	1.0042721
1.5790533	131472200.0	1.0043083
1.6084695	132931650.0	1.0043348
1.6384336	134353260.0	1.0043625
1.668956	135736940.0	1.0044048
1.700047	137080110.0	1.0044459
1.7317171	138383300.0	1.0045005
1.7639773	139644740.0	1.004545
1.7968384	140863780.0	1.0045917
1.8303117	142041280.0	1.0046548
1.8644085	143174850.0	1.0047151
1.8991406	144264270.0	1.0047723
1.9345197	145309200.0	1.0048333
1.9705578	146309730.0	1.0048949
2.0072673	147265090.0	1.0049552
2.0446607	148175740.0	1.005035
2.0827506	149041710.0	1.0051134
2.1215502	149861280.0	1.0051767
2.1610725	150634600.0	1.0052503
2.2013311	151362860.0	1.005315
2.2423397	152046770.0	1.0054044
2.2841122	152684130.0	1.0054605
2.3266629	153277540.0	1.0055494
2.3700063	153826740.0	1.005625
2.4141571	154330800.0	1.0056922
2.4591304	154791840.0	1.0057744
2.5049415	155167000.0	1.0058475
2.5516061	155167000.0	1.0058475
2.5991399	155167000.0	1.0058475
2.6475593	155167000.0	1.0058475
2.6968806	155167000.0	1.0058475
2.7471208	155167000.0	1.0058475
2.7982969	155167000.0	1.0058475
2.8504263	155167000.0	1.0058475
2.9035269	155167000.0	1.0058475
2.9576167	155167000.0	1.0058475
3.0127141	155167000.0	1.0058475
3.0688379	155167000.0	1.0058475
3.1260072	155167000.0	1.0058475
3.1842416	155167000.0	1.0058475
3.2435608	155167000.0	1.0058475
3.3039851	155167000.0	1.0058475
3.365535	155167000.0	1.0058475
3.4282315	155167000.0	1.0058475
3.492096	155167000.0	1.0058475
3.5571502	155167000.0	1.0058475
3.6234163	155167000.0	1.0058475
3.6909169	155167000.0	1.0058475
3.759675	155167000.0	1.0058475
3.8297139	155167000.0	1.0058475
3.9010576	155167000.0	1.0058475
3.9737304	155167000.0	1.0058475
4.047757	155167000.0	1.0058475
4.1231626	155167000.0	1.0058475
4.1999729	155167000.0	1.0058475
4.2782142	155167000.0	1.0058475
4.357913	155167000.0	1.0058475
4.4390965	155167000.0	1.0058475
4.5217924	155167000.0	1.0058475
4.6060288	155167000.0	1.0058475
4.6918345	155167000.0	1.0058475
4.7792386	155167000.0	1.0058475
4.868271	155167000.0	1.0058475
4.958962	155167000.0	1.0058475
5.0513425	155167000.0	1.0058475
5.1454439	155167000.0	1.0058475
5.2412983	155167000.0	1.0058475
5.3389384	155167000.0	1.0058475
5.4383974	155167000.0	1.0058475
5.5397093	155167000.0	1.0058475
5.6429085	155167000.0	1.0058475
5.7480302	155167000.0	1.0058475
5.8551102	155167000.0	1.0058475
5.9641849	155167000.0	1.0058475
6.0752917	155167000.0	1.0058475
6.1884682	155167000.0	1.0058475
6.3037532	155167000.0	1.0058475
6.4211857	155167000.0	1.0058475
6.5408059	155167000.0	1.0058475
6.6626545	155167000.0	1.0058475
6.7867731	155167000.0	1.0058475
6.9132038	155167000.0	1.0058475
7.0419898	155167000.0	1.0058475
7.1731749	155167000.0	1.0058475
7.306804	155167000.0	1.0058475
7.4429223	155167000.0	1.0058475
7.5815765	155167000.0	1.0058475
7.7228136	155167000.0	1.0058475
7.8666818	155167000.0	1.0058475
8.0132301	155167000.0	1.0058475
8.1625085	155167000.0	1.0058475
8.3145678	155167000.0	1.0058475
8.4694598	155167000.0	1.0058475
8.6272373	155167000.0	1.0058475
8.787954	155167000.0	1.0058475
8.9516647	155167000.0	1.0058475
9.1184252	155167000.0	1.0058475
9.2882923	155167000.0	1.0058475
9.4613238	155167000.0	1.0058475
9.6375787	155167000.0	1.0058475
9.817117	155167000.0	1.0058475
10.0	155167000.0	1.0058475
