# T9	Mean Rate	One Sigma
0.001	691543700.0	1.0026987
0.0010186	691410600.0	1.0026985
0.0010376	691276350.0	1.0026985
0.0010569	691141060.0	1.0026985
0.0010766	691004500.0	1.0026985
0.0010967	690866800.0	1.0026984
0.0011171	690728000.0	1.0026984
0.0011379	690588000.0	1.0026984
0.0011591	690446800.0	1.0026984
0.0011807	690304260.0	1.0026983
0.0012027	690160640.0	1.0026983
0.0012251	690015740.0	1.0026983
0.0012479	689869700.0	1.0026982
0.0012712	689722400.0	1.0026982
0.0012949	689573800.0	1.0026982
0.001319	689424000.0	1.0026981
0.0013436	689272800.0	1.0026981
0.0013686	689120450.0	1.0026981
0.0013941	688966850.0	1.0026981
0.0014201	688811900.0	1.002698
0.0014465	688655600.0	1.002698
0.0014735	688498050.0	1.002698
0.0015009	688339100.0	1.0026978
0.0015289	688178900.0	1.0026978
0.0015573	688017200.0	1.0026978
0.0015864	687854300.0	1.0026977
0.0016159	687690000.0	1.0026977
0.001646	687524350.0	1.0026976
0.0016767	687357250.0	1.0026976
0.0017079	687188740.0	1.0026976
0.0017397	687018800.0	1.0026975
0.0017721	686847550.0	1.0026975
0.0018051	686674750.0	1.0026975
0.0018388	686500540.0	1.0026973
0.001873	686324900.0	1.0026973
0.0019079	686147840.0	1.0026972
0.0019435	685969200.0	1.0026972
0.0019797	685789100.0	1.0026972
0.0020166	685607550.0	1.0026971
0.0020541	685424600.0	1.0026971
0.0020924	685239940.0	1.002697
0.0021314	685053800.0	1.002697
0.0021711	684866240.0	1.0026969
0.0022115	684677000.0	1.0026969
0.0022527	684486200.0	1.0026968
0.0022947	684293760.0	1.0026968
0.0023374	684099900.0	1.0026966
0.002381	683904300.0	1.0026966
0.0024253	683707200.0	1.0026965
0.0024705	683508400.0	1.0026965
0.0025165	683308000.0	1.0026964
0.0025634	683106000.0	1.0026964
0.0026112	682902200.0	1.0026963
0.0026598	682696900.0	1.0026963
0.0027094	682489800.0	1.0026962
0.0027598	682281100.0	1.0026962
0.0028112	682070660.0	1.002696
0.0028636	681858370.0	1.002696
0.002917	681644500.0	1.0026959
0.0029713	681428860.0	1.0026958
0.0030266	681211460.0	1.0026958
0.003083	680992260.0	1.0026957
0.0031405	680771400.0	1.0026957
0.003199	680548540.0	1.0026956
0.0032586	680324030.0	1.0026954
0.0033193	680097600.0	1.0026954
0.0033811	679869440.0	1.0026953
0.0034441	679639360.0	1.0026952
0.0035082	679407400.0	1.0026952
0.0035736	679173700.0	1.0026951
0.0036402	678938050.0	1.002695
0.003708	678700400.0	1.002695
0.0037771	678461060.0	1.0026948
0.0038474	678219600.0	1.0026947
0.0039191	677976260.0	1.0026946
0.0039921	677731100.0	1.0026946
0.0040665	677483700.0	1.0026945
0.0041422	677234500.0	1.0026944
0.0042194	676983230.0	1.0026942
0.004298	676730000.0	1.0026942
0.0043781	676474800.0	1.0026941
0.0044596	676217540.0	1.002694
0.0045427	675958200.0	1.0026939
0.0046273	675696900.0	1.0026938
0.0047135	675433300.0	1.0026937
0.0048013	675167740.0	1.0026937
0.0048908	674900160.0	1.0026935
0.0049819	674630400.0	1.0026934
0.0050747	674358460.0	1.0026933
0.0051692	674084500.0	1.0026932
0.0052655	673808260.0	1.002693
0.0053636	673529860.0	1.0026929
0.0054636	673249300.0	1.0026928
0.0055653	672966500.0	1.0026927
0.005669	672681600.0	1.0026926
0.0057746	672394300.0	1.0026925
0.0058822	672104800.0	1.0026923
0.0059918	671813000.0	1.0026922
0.0061034	671519040.0	1.0026921
0.0062171	671222660.0	1.002692
0.0063329	670924100.0	1.0026919
0.0064509	670623100.0	1.0026917
0.0065711	670319800.0	1.0026916
0.0066935	670014200.0	1.0026914
0.0068182	669706100.0	1.0026913
0.0069452	669395800.0	1.0026911
0.0070746	669082900.0	1.002691
0.0072064	668767550.0	1.0026909
0.0073406	668450050.0	1.0026908
0.0074773	668129900.0	1.0026906
0.0076166	667807300.0	1.0026904
0.0077585	667482240.0	1.0026903
0.0079031	667154600.0	1.0026901
0.0080503	666824500.0	1.00269
0.0082003	666491900.0	1.0026898
0.008353	666156740.0	1.0026896
0.0085086	665819100.0	1.0026895
0.0086671	665478700.0	1.0026894
0.0088286	665135740.0	1.0026891
0.0089931	664790340.0	1.002689
0.0091606	664442200.0	1.0026888
0.0093313	664091400.0	1.0026886
0.0095051	663737860.0	1.0026884
0.0096822	663381700.0	1.0026883
0.0098625	663022800.0	1.002688
0.0100463	662661250.0	1.0026879
0.0102334	662296800.0	1.0026877
0.010424	661929860.0	1.0026875
0.0106182	661560060.0	1.0026873
0.010816	661187460.0	1.0026871
0.0110175	660812000.0	1.0026869
0.0112228	660433660.0	1.0026867
0.0114318	660052400.0	1.0026865
0.0116448	659668540.0	1.0026863
0.0118617	659281660.0	1.002686
0.0120827	658891970.0	1.0026858
0.0123078	658499460.0	1.0026857
0.0125371	658103900.0	1.0026854
0.0127706	657705200.0	1.0026852
0.0130085	657303740.0	1.002685
0.0132509	656899300.0	1.0026847
0.0134977	656491800.0	1.0026845
0.0137492	656081200.0	1.0026842
0.0140053	655667700.0	1.002684
0.0142662	655251100.0	1.0026838
0.014532	654831300.0	1.0026835
0.0148027	654408450.0	1.0026832
0.0150785	653982500.0	1.0026829
0.0153593	653553340.0	1.0026827
0.0156455	653121150.0	1.0026824
0.0159369	652685630.0	1.0026821
0.0162338	652247040.0	1.0026819
0.0165362	651805200.0	1.0026816
0.0168443	651360060.0	1.0026813
0.0171581	650911600.0	1.002681
0.0174777	650459970.0	1.0026808
0.0178033	650005000.0	1.0026804
0.018135	649546700.0	1.0026802
0.0184728	649085000.0	1.0026798
0.0188169	648619970.0	1.0026795
0.0191675	648151500.0	1.0026792
