# T9	Mean Rate	One Sigma
0.0068182	6.607424e-12	18380.684
0.0069452	5.2748594e-11	2780.886
0.0070746	1.2344702e-10	1432.4791
0.0072064	2.2830747e-10	931.98883
0.0073406	3.8016482e-10	672.2473
0.0074773	5.9607314e-10	514.02673
0.0076166	8.9856644e-10	408.08115
0.0077585	1.3172599e-09	332.5702
0.0079031	1.8908999e-09	276.3067
0.0080503	2.6699687e-09	232.98256
0.0082003	3.719945e-09	198.76398
0.008353	5.125516e-09	171.18535
0.0085086	6.9957298e-09	148.59238
0.0086671	9.470545e-09	129.83282
0.0088286	1.2729113e-08	114.079445
0.0089931	1.6999861e-08	100.7233
0.0091606	2.2573502e-08	89.30614
0.0093313	2.981846e-08	79.47765
0.0095051	3.920114e-08	70.963356
0.0096822	5.1309858e-08	63.54793
0.0098625	6.6884375e-08	57.058167
0.0100463	8.685482e-08	51.353943
0.0102334	1.1238495e-07	46.321205
0.010424	1.4492909e-07	41.86532
0.0106182	1.863016e-07	37.908108
0.010816	2.3875802e-07	34.383953
0.0110175	3.0509838e-07	31.237242
0.0112228	3.8879543e-07	28.421246
0.0114318	4.941381e-07	25.895454
0.0116448	6.264234e-07	23.625843
0.0118617	7.9217e-07	21.582684
0.0120827	9.993962e-07	19.7403
0.0123078	1.2579337e-06	18.07641
0.0125371	1.579826e-06	16.57177
0.0127706	1.9798097e-06	15.209116
0.0130085	2.4758442e-06	13.97378
0.0132509	3.0898175e-06	12.852506
0.0134977	3.848379e-06	11.833741
0.0137492	4.7838334e-06	10.907161
0.0140053	5.935378e-06	10.063707
0.0142662	7.350397e-06	9.295315
0.014532	9.086235e-06	8.594725
0.0148027	1.1211975e-05	7.95546
0.0150785	1.3810832e-05	7.371803
0.0153593	1.6982933e-05	6.838564
0.0156455	2.0848462e-05	6.3511386
0.0159369	2.5551499e-05	5.905315
0.0162338	3.126459e-05	5.497333
0.0165362	3.8193775e-05	5.123878
0.0168443	4.6585374e-05	4.7817855
0.0171581	5.6732675e-05	4.4683976
0.0174777	6.8984686e-05	4.1811295
0.0178033	8.3756735e-05	3.9177566
0.018135	0.00010154107	3.6762462
0.0184728	0.00012292161	3.4546843
0.0188169	0.0001485896	3.2513788
0.0191675	0.0001793616	3.0648062
0.0195246	0.0002162022	2.8935595
0.0198883	0.0002602484	2.7363605
0.0202588	0.00031283888	2.592021
0.0206362	0.00037554695	2.459514
0.0210206	0.00045022208	2.3378477
0.0214122	0.00053903117	2.2261395
0.0218111	0.00064451667	2.1235688
0.0222174	0.00076964643	2.029385
0.0226313	0.0009178939	1.942935
0.0230529	0.0010933151	1.8635937
0.0234823	0.001300627	1.7907885
0.0239198	0.0015453317	1.723973
0.0243654	0.0018338317	1.6626945
0.0248193	0.0021735434	1.6065152
0.0252817	0.002573092	1.5550325
0.0257526	0.0030424614	1.5078784
0.0262324	0.0035932227	1.4647009
0.0267211	0.004238721	1.4252068
0.0272188	0.004994393	1.3891157
0.0277259	0.0058780466	1.3561502
0.0282424	0.006910194	1.3260765
0.0287685	0.008114444	1.2986891
0.0293045	0.009517938	1.2737811
0.0298504	0.011151875	1.2511592
0.0304065	0.013051999	1.2306751
0.0309729	0.015259258	1.212156
0.0315499	0.017820656	1.1954591
0.0321376	0.02078977	1.1804626
0.0327363	0.024227941	1.1670355
0.0333462	0.028205104	1.1550579
0.0339674	0.03280091	1.1444266
0.0346002	0.03810637	1.1350385
0.0352447	0.044224605	1.1267965
0.0359013	0.05127302	1.1195927
0.0365701	0.059385113	1.1133413
0.0372514	0.0687119	1.1079502
0.0379453	0.07942474	1.1033392
0.0386522	0.09171773	1.0994102
0.0393723	0.10581013	1.0960879
0.0401057	0.12194981	1.0932988
0.0408529	0.14041634	1.0909662
0.0416139	0.16152547	1.0890304
0.0423891	0.185632	1.0874296
0.0431788	0.21313636	1.0861133
0.0439832	0.24448842	1.0850315
0.0448025	0.28019327	1.0841498
0.0456372	0.32081828	1.0834318
0.0464873	0.36699954	1.0828493
0.0473533	0.41944873	1.082376
0.0482355	0.47896513	1.0819927
0.0491341	0.5464383	1.081684
0.0500494	0.6228665	1.0814346
0.0509818	0.7093625	1.0812334
0.0519315	0.8071686	1.0810715
0.0528989	0.9176656	1.080941
0.0538844	1.0423921	1.0808377
0.0548882	1.183066	1.0807538
0.0559107	1.3415891	1.0806879
0.0569523	1.5200744	1.0806353
