# T9	Mean Rate	One Sigma
0.001	4.5981236	1.0100968
0.0010186	4.5012693	1.0103693
0.0010376	4.398966	1.0103031
0.0010569	4.287594	1.0102038
0.0010766	4.1645737	1.0100124
0.0010967	4.035255	1.0104189
0.0011171	3.8999457	1.0099505
0.0011379	3.7492175	1.0099686
0.0011591	3.5935926	1.0101124
0.0011807	3.4326315	1.0097685
0.0012027	3.2598085	1.0107117
0.0012251	3.0850666	1.0104982
0.0012479	2.8976529	1.0098591
0.0012712	2.7063022	1.010799
0.0012949	2.5099735	1.0111568
0.001319	2.3094335	1.009538
0.0013436	2.0996065	1.012929
0.0013686	1.8842508	1.0116168
0.0013941	1.6649435	1.0117488
0.0014201	1.4434294	1.007519
0.0014465	1.2162364	1.011744
0.0014735	0.9911208	1.0149478
0.0015009	0.7652818	1.020788
0.0015289	0.53029054	1.0152861
0.0015573	0.29936162	1.0116063
0.0015864	0.0645005	1.0976999
0.0039191	0.17803805	0.9901965
0.0039921	0.48675025	0.9037793
0.0040665	0.7399482	1.0784696
0.0041422	0.8709925	1.0489295
0.0042194	1.234658	0.9780881
0.004298	1.4336877	0.9855529
0.0043781	1.5872703	1.0453557
0.0044596	1.8870776	0.99681497
0.0045427	2.1179194	1.0282867
0.0046273	2.4784067	1.0047102
0.0047135	2.7048247	1.0323322
0.0048013	2.7037003	1.0084816
0.0048908	3.17408	1.0168499
0.0049819	3.2524784	1.0482433
0.0050747	3.288574	0.9836137
0.0051692	3.667007	1.023424
0.0052655	3.7043583	1.0027745
0.0053636	3.989655	0.979002
0.0054636	3.8068235	1.0275787
0.0055653	3.934664	1.0122575
0.005669	4.189725	0.99140364
0.0057746	4.420939	0.9747081
0.0058822	4.5584464	1.0161225
0.0059918	4.4884806	0.986647
0.0061034	4.576767	1.0157566
0.0062171	4.6014533	1.0454203
0.0063329	4.8845954	1.0028149
0.0064509	4.988693	1.0027959
0.0065711	4.772929	1.0162525
0.0066935	4.698858	1.0344652
0.0068182	5.037626	1.0697328
0.0069452	5.2595067	1.0323796
0.0070746	5.584497	0.9587105
0.0072064	5.4165397	1.0437888
0.0073406	5.652009	1.0456868
0.0074773	5.6413374	0.9883621
0.0076166	5.8507314	1.0763028
0.0077585	6.9829087	0.9785509
0.0079031	6.636591	1.0162317
0.0080503	7.258213	0.98455733
0.0082003	7.327342	1.0504395
0.008353	8.24927	0.99444103
0.0085086	9.305363	1.0050898
0.0086671	10.2794485	0.9806413
0.0088286	10.391286	1.0529715
0.0089931	11.946506	1.0127028
0.0091606	12.893784	1.022302
0.0093313	15.086958	0.991587
0.0095051	16.545528	0.9834538
0.0096822	17.88605	1.0149051
0.0098625	20.415922	1.0092016
0.0100463	22.12439	1.0082366
0.0102334	25.03801	0.98446864
0.010424	27.666021	0.9940856
0.0106182	31.618948	0.99693817
0.010816	35.158585	1.012477
0.0110175	38.41962	0.9954692
0.0112228	44.571243	1.0062793
0.0114318	48.39857	1.0000085
0.0116448	54.648457	0.99480784
0.0118617	60.521877	1.0158607
0.0120827	69.21101	1.0015529
0.0123078	75.98493	0.9964184
0.0125371	85.024994	0.99728805
0.0127706	93.70357	1.0092974
0.0130085	105.60917	1.0057967
0.0132509	114.9863	1.0154417
0.0134977	127.52675	1.010095
0.0137492	142.25732	1.0121753
0.0140053	157.04512	1.0047976
0.0142662	173.32928	1.0131325
0.014532	191.12651	1.0083102
0.0148027	210.85973	1.0109072
0.0150785	232.74701	1.0092475
0.0153593	257.32736	1.010258
0.0156455	280.6671	1.0094366
0.0159369	309.4819	1.0074655
0.0162338	341.89313	1.0055226
0.0165362	376.0292	1.0083985
0.0168443	411.0119	1.0088803
0.0171581	453.44223	1.005506
0.0174777	491.5136	1.012217
0.0178033	539.8937	1.0089895
0.018135	590.1799	1.0135878
0.0184728	646.57263	1.008017
0.0188169	704.7101	1.0092161
0.0191675	766.16565	1.0106438
0.0195246	841.04443	1.007982
0.0198883	915.0523	1.0083977
0.0202588	993.2569	1.010923
0.0206362	1083.7648	1.011506
0.0210206	1177.0001	1.0102234
0.0214122	1282.1855	1.0103444
0.0218111	1390.9944	1.0097189
0.0222174	1510.1375	1.0085486
0.0226313	1642.6925	1.0070454
0.0230529	1775.7825	1.0108348
0.0234823	1929.8676	1.008447
0.0239198	2089.8503	1.008262
0.0243654	2261.8965	1.0090076
0.0248193	2444.6106	1.0095667
0.0252817	2651.2053	1.0072353
0.0257526	2860.1238	1.0087235
0.0262324	3089.229	1.0094801
0.0267211	3338.5935	1.0098587
0.0272188	3605.7988	1.0094126
0.0277259	3887.2864	1.0106841
0.0282424	4194.7007	1.0080137
0.0287685	4515.6514	1.0105383
0.0293045	4861.9478	1.009881
0.0298504	5227.593	1.0106596
0.0304065	5636.07	1.0090686
0.0309729	6054.555	1.0088682
0.0315499	6510.4126	1.0093553
0.0321376	6992.5605	1.0087181
0.0327363	7507.634	1.0088964
0.0333462	8064.904	1.0091716
0.0339674	8649.005	1.010156
0.0346002	9267.802	1.0094146
0.0352447	9939.713	1.0092937
0.0359013	10638.092	1.0099622
0.0365701	11401.571	1.0094148
0.0372514	12202.887	1.0091084
0.0379453	13044.23	1.009467
0.0386522	13944.794	1.0098497
0.0393723	14925.949	1.0080893
0.0401057	15925.529	1.0091591
0.0408529	16995.18	1.0093424
0.0416139	18140.6	1.0102167
0.0423891	19375.98	1.009064
0.0431788	20637.45	1.0099491
0.0439832	22002.53	1.0102736
0.0448025	23442.873	1.0091184
0.0456372	24980.037	1.009573
0.0464873	26554.629	1.00972
0.0473533	28273.402	1.0100081
0.0482355	30065.846	1.0093098
0.0491341	31985.422	1.0091307
0.0500494	33979.176	1.0097681
0.0509818	36105.36	1.0104495
0.0519315	38349.938	1.0096706
0.0528989	40710.7	1.0092647
0.0538844	43184.406	1.0095302
0.0548882	45799.47	1.0097557
0.0559107	48572.848	1.0098168
0.0569523	51400.953	1.0097518
0.0580132	54497.367	1.0091944
0.059094	57704.664	1.0095907
0.0601948	61051.22	1.0100304
0.0613162	64654.312	1.0091275
0.0624584	68313.695	1.0092816
0.063622	72238.41	1.0098623
0.0648072	76362.42	1.0096445
0.0660145	80709.22	1.009568
0.0672443	85174.23	1.0097601
0.068497	89924.484	1.0096408
0.069773	94878.695	1.0095956
0.0710728	100092.414	1.0093526
0.0723968	105578.62	1.0094483
0.0737455	111285.945	1.0095118
0.0751193	117238.375	1.0099332
0.0765187	123439.71	1.0099003
0.0779442	130015.95	1.0098802
0.0793962	136776.9	1.0102812
0.0808752	143941.52	1.0098462
0.0823819	151433.33	1.0098301
0.0839166	159239.8	1.0097413
0.0854798	167376.69	1.0096042
0.0870722	175800.47	1.0105073
0.0886943	184817.56	1.0097396
0.0903466	194029.05	1.0101504
0.0920297	203568.72	1.0101403
0.0937441	213726.5	1.0097648
0.0954904	224105.22	1.0099951
0.0972693	235099.56	1.0093404
0.0990814	246412.84	1.010226
0.1009272	258219.12	1.0096655
