# T9	Mean Rate	One Sigma
0.001	4.510954	1.009777
0.0010186	4.405273	1.0096259
0.0010376	4.2902923	1.0098499
0.0010569	4.168777	1.0094414
0.0010766	4.033995	1.0100446
0.0010967	3.893875	1.0096613
0.0011171	3.745415	1.0101371
0.0011379	3.5863311	1.0095816
0.0011591	3.4189622	1.0099055
0.0011807	3.2451127	1.009598
0.0012027	3.0621343	1.0101131
0.0012251	2.8801656	1.0089362
0.0012479	2.6797688	1.0097635
0.0012712	2.479343	1.0081166
0.0012949	2.2743945	1.008838
0.001319	2.0597491	1.0100324
0.0013436	1.8473332	1.0074314
0.0013686	1.6227541	1.0082693
0.0013941	1.393842	1.0056833
0.0014201	1.1577706	1.0052056
0.0014465	0.92731154	1.0072279
0.0014735	0.6982978	1.0049583
0.0015009	0.46579587	1.0002939
0.0015289	0.2220087	0.9867691
0.0037771	0.103013255	0.42627615
0.0038474	0.44637784	0.8650013
0.0039191	0.57937765	0.93617225
0.0039921	0.9102321	0.94240606
0.0040665	1.2285024	0.9413934
0.0041422	1.3395199	0.98299724
0.0042194	1.7443992	0.9654133
0.004298	1.8520534	1.0189979
0.0043781	2.063614	0.98667806
0.0044596	2.3927276	0.998871
0.0045427	2.6513858	0.9699468
0.0046273	3.0214612	0.9707628
0.0047135	3.1297503	1.0047233
0.0048013	3.1233535	0.9412985
0.0048908	3.5758195	0.9668021
0.0049819	3.702644	1.0178026
0.0050747	3.6239605	0.99006075
0.0051692	3.989217	1.0008585
0.0052655	4.2669473	0.9880158
0.0053636	4.4934955	0.99984473
0.0054636	4.3969007	0.97325975
0.0055653	4.400894	0.9820477
0.005669	4.698859	0.95815426
0.0057746	4.5876875	1.006576
0.0058822	4.9123106	1.017835
0.0059918	4.86651	0.95907634
0.0061034	4.8138995	1.0196046
0.0062171	4.963039	1.0034549
0.0063329	4.9893284	0.99020773
0.0064509	5.19748	0.99017733
0.0065711	4.9300323	0.9298313
0.0066935	4.9981623	0.98861563
0.0068182	5.2731266	1.0319986
0.0069452	5.183537	1.028019
0.0070746	5.2606654	0.99715537
0.0072064	5.2721033	1.0123396
0.0073406	5.483745	0.9788614
0.0074773	5.777459	0.9884971
0.0076166	5.86388	0.9968119
0.0077585	6.777309	0.9746651
