# T9	Mean Rate	One Sigma
0.0023374	2.8714386e-08	1963.88
0.002381	1.1080028e-06	51.202076
0.0024253	2.2923728e-06	24.870258
0.0024705	3.441601e-06	16.617958
0.0025165	4.665999e-06	12.282768
0.0025634	5.8206747e-06	9.845558
0.0026112	6.9838825e-06	8.186435
0.0026598	8.200016e-06	6.9489274
0.0027094	9.2627515e-06	6.109656
0.0027598	1.038535e-05	5.40903
0.0028112	1.1573536e-05	4.8074145
0.0028636	1.2630805e-05	4.347751
0.002917	1.3739837e-05	3.9434812
0.0029713	1.4785304e-05	3.6035323
0.0030266	1.5736521e-05	3.316326
0.003083	1.6697657e-05	3.0600126
0.0031405	1.7749488e-05	2.808614
0.003199	1.860759e-05	2.603029
0.0032586	1.9479805e-05	2.410181
0.0033193	2.0275187e-05	2.2372696
0.0033811	2.0900094e-05	2.0845735
0.0034441	2.1946453e-05	1.909206
0.0035082	2.253115e-05	1.7721729
0.0035736	2.3237086e-05	1.6357659
0.0036402	2.386423e-05	1.5029659
0.003708	2.4413452e-05	1.3813691
0.0037771	2.5187204e-05	1.2559887
0.0038474	2.5557023e-05	1.1464387
0.0039191	2.6319103e-05	1.0348462
0.0039921	2.6743197e-05	0.932477
0.0040665	2.7228163e-05	0.83411735
0.0041422	2.8026487e-05	0.7310367
0.0042194	2.8499142e-05	0.6409883
0.004298	2.9187964e-05	0.55687404
0.0043781	2.9945137e-05	0.4739051
0.0044596	3.0514922e-05	0.4039513
0.0045427	3.117373e-05	0.33249503
0.0046273	3.2249376e-05	0.27512285
0.0047135	3.329101e-05	0.22121936
0.0048013	3.5025285e-05	0.19067919
0.0048908	3.605112e-05	0.15370755
0.0049819	3.779226e-05	0.1356651
0.0050747	4.04147e-05	0.13178529
0.0051692	4.246795e-05	0.13015398
0.0052655	4.52239e-05	0.14159322
0.0053636	4.8409573e-05	0.16208206
0.0054636	5.2690793e-05	0.19637474
0.0055653	5.6812714e-05	0.23390347
0.005669	6.190562e-05	0.2731284
0.0057746	6.7861125e-05	0.31329477
0.0058822	7.359859e-05	0.36163542
0.0059918	8.183118e-05	0.4149785
0.0061034	9.0324844e-05	0.46139705
0.0062171	9.944484e-05	0.5092702
0.0063329	0.0001101349	0.55879265
0.0064509	0.00012285929	0.6011892
0.0065711	0.0001372692	0.6456505
0.0066935	0.00015308594	0.6839214
0.0068182	0.0001698125	0.71953285
0.0069452	0.00019006939	0.754912
0.0070746	0.00021180543	0.784552
0.0072064	0.00023652457	0.81380594
0.0073406	0.00026427963	0.83902484
0.0074773	0.00029458667	0.8640283
0.0076166	0.0003283542	0.8856477
0.0077585	0.00036568177	0.902863
0.0079031	0.00040703046	0.92082125
0.0080503	0.00045373468	0.93508756
0.0082003	0.0005067505	0.9465849
0.008353	0.00056161004	0.9597193
