# T9	Mean Rate	One Sigma
0.001	44093.637	1.0014766
0.0010186	44092.934	1.0014768
0.0010376	44092.195	1.001477
0.0010569	44091.44	1.0014774
0.0010766	44090.668	1.0014776
0.0010967	44089.855	1.001478
0.0011171	44089.023	1.0014784
0.0011379	44088.168	1.0014788
0.0011591	44087.285	1.0014793
0.0011807	44086.37	1.0014799
0.0012027	44085.426	1.0014803
0.0012251	44084.445	1.0014809
0.0012479	44083.445	1.0014817
0.0012712	44082.406	1.0014824
0.0012949	44081.344	1.0014831
0.001319	44080.24	1.0014839
0.0013436	44079.11	1.0014848
0.0013686	44077.94	1.0014856
0.0013941	44076.746	1.0014865
0.0014201	44075.51	1.0014875
0.0014465	44074.246	1.0014886
0.0014735	44072.93	1.0014896
0.0015009	44071.594	1.0014907
0.0015289	44070.21	1.0014919
0.0015573	44068.793	1.0014931
0.0015864	44067.33	1.0014944
0.0016159	44065.832	1.0014957
0.001646	44064.285	1.0014971
0.0016767	44062.703	1.0014986
0.0017079	44061.082	1.0015001
0.0017397	44059.414	1.0015017
0.0017721	44057.7	1.0015032
0.0018051	44055.94	1.0015049
0.0018388	44054.137	1.0015067
0.001873	44052.285	1.0015085
0.0019079	44050.39	1.0015103
0.0019435	44048.44	1.0015122
0.0019797	44046.438	1.0015142
0.0020166	44044.39	1.0015161
0.0020541	44042.29	1.0015182
0.0020924	44040.137	1.0015204
0.0021314	44037.926	1.0015225
0.0021711	44035.66	1.0015248
0.0022115	44033.34	1.0015272
0.0022527	44030.96	1.0015296
0.0022947	44028.53	1.001532
0.0023374	44026.03	1.0015345
0.002381	44023.48	1.0015371
0.0024253	44020.863	1.0015397
0.0024705	44018.18	1.0015424
0.0025165	44015.438	1.0015452
0.0025634	44012.63	1.0015479
0.0026112	44009.75	1.0015509
0.0026598	44006.81	1.0015539
0.0027094	44003.793	1.0015569
0.0027598	44000.71	1.00156
0.0028112	43997.55	1.0015631
0.0028636	43994.324	1.0015663
0.002917	43991.02	1.0015696
0.0029713	43987.645	1.001573
0.0030266	43984.188	1.0015763
0.003083	43980.65	1.0015799
0.0031405	43977.035	1.0015833
0.003199	43973.336	1.001587
0.0032586	43969.56	1.0015907
0.0033193	43965.688	1.0015944
0.0033811	43961.734	1.0015982
0.0034441	43957.703	1.001602
0.0035082	43953.57	1.001606
0.0035736	43949.348	1.00161
0.0036402	43945.035	1.0016141
0.003708	43940.63	1.0016183
0.0037771	43936.125	1.0016224
0.0038474	43931.523	1.0016267
0.0039191	43926.82	1.001631
0.0039921	43922.02	1.0016354
0.0040665	43917.11	1.0016398
0.0041422	43912.098	1.0016444
0.0042194	43906.98	1.001649
0.004298	43901.75	1.0016537
0.0043781	43896.414	1.0016583
0.0044596	43890.96	1.0016631
0.0045427	43885.395	1.001668
0.0046273	43879.71	1.0016729
0.0047135	43873.91	1.0016778
0.0048013	43867.984	1.0016828
0.0048908	43861.94	1.0016879
0.0049819	43855.766	1.001693
0.0050747	43849.465	1.0016981
0.0051692	43843.035	1.0017034
0.0052655	43836.473	1.0017087
0.0053636	43829.78	1.001714
0.0054636	43822.945	1.0017195
0.0055653	43815.977	1.001725
0.005669	43808.863	1.0017304
0.0057746	43801.61	1.001736
0.0058822	43794.207	1.0017416
0.0059918	43786.66	1.0017473
0.0061034	43778.957	1.001753
0.0062171	43771.098	1.0017588
0.0063329	43763.086	1.0017645
0.0064509	43754.914	1.0017704
0.0065711	43746.586	1.0017763
0.0066935	43738.09	1.0017823
0.0068182	43729.426	1.0017883
0.0069452	43720.594	1.0017943
0.0070746	43711.59	1.0018004
0.0072064	43702.402	1.0018065
0.0073406	43693.047	1.0018127
0.0074773	43683.508	1.0018189
0.0076166	43673.777	1.0018251
0.0077585	43663.87	1.0018314
0.0079031	43653.766	1.0018376
0.0080503	43643.47	1.001844
0.0082003	43632.98	1.0018504
0.008353	43622.285	1.0018568
0.0085086	43611.395	1.0018631
0.0086671	43600.29	1.0018696
0.0088286	43588.977	1.0018761
0.0089931	43577.453	1.0018826
0.0091606	43565.715	1.0018891
0.0093313	43553.754	1.0018957
0.0095051	43541.574	1.0019022
0.0096822	43529.164	1.0019088
0.0098625	43516.523	1.0019155
0.0100463	43503.65	1.001922
0.0102334	43490.543	1.0019287
0.010424	43477.19	1.0019352
0.0106182	43463.598	1.0019419
0.010816	43449.758	1.0019486
0.0110175	43435.656	1.0019553
0.0112228	43421.305	1.001962
0.0114318	43406.69	1.0019686
0.0116448	43391.81	1.0019753
0.0118617	43376.668	1.001982
0.0120827	43361.254	1.0019886
0.0123078	43345.562	1.0019953
0.0125371	43329.586	1.002002
0.0127706	43313.332	1.0020087
0.0130085	43296.79	1.0020152
0.0132509	43279.95	1.0020219
0.0134977	43262.81	1.0020286
0.0137492	43245.375	1.0020351
0.0140053	43227.63	1.0020418
0.0142662	43209.574	1.0020484
0.014532	43191.207	1.0020549
0.0148027	43172.523	1.0020615
0.0150785	43153.508	1.002068
0.0153593	43134.168	1.0020745
0.0156455	43114.492	1.002081
0.0159369	43094.48	1.0020875
0.0162338	43074.13	1.0020939
0.0165362	43053.426	1.0021002
0.0168443	43032.37	1.0021067
0.0171581	43010.965	1.002113
0.0174777	42989.19	1.0021193
0.0178033	42967.05	1.0021255
0.018135	42944.54	1.0021317
0.0184728	42921.652	1.0021379
0.0188169	42898.38	1.002144
0.0191675	42874.72	1.00215
0.0195246	42850.668	1.0021561
0.0198883	42826.215	1.0021621
0.0202588	42801.367	1.002168
0.0206362	42776.105	1.002174
0.0210206	42750.434	1.0021799
0.0214122	42724.34	1.0021856
0.0218111	42697.824	1.0021913
0.0222174	42670.875	1.002197
0.0226313	42643.496	1.0022026
0.0230529	42615.67	1.0022081
0.0234823	42587.402	1.0022137
0.0239198	42558.68	1.0022191
0.0243654	42529.504	1.0022244
0.0248193	42499.863	1.0022298
0.0252817	42469.754	1.002235
0.0257526	42439.164	1.0022402
0.0262324	42408.1	1.0022453
0.0267211	42376.55	1.0022503
0.0272188	42344.51	1.0022553
0.0277259	42311.97	1.0022602
0.0282424	42278.93	1.0022651
0.0287685	42245.375	1.0022697
0.0293045	42211.312	1.0022745
0.0298504	42176.723	1.002279
0.0304065	42141.61	1.0022836
0.0309729	42105.96	1.0022881
0.0315499	42069.78	1.0022925
0.0321376	42033.047	1.0022968
0.0327363	41995.77	1.002301
0.0333462	41957.934	1.0023052
0.0339674	41919.535	1.0023093
0.0346002	41880.574	1.0023133
0.0352447	41841.03	1.0023172
0.0359013	41800.914	1.0023211
0.0365701	41760.207	1.0023248
0.0372514	41718.914	1.0023286
0.0379453	41677.016	1.0023322
0.0386522	41634.516	1.0023358
0.0393723	41591.41	1.0023392
0.0401057	41547.684	1.0023427
0.0408529	41503.344	1.002346
0.0416139	41458.375	1.0023493
0.0423891	41412.766	1.0023525
0.0431788	41366.523	1.0023557
0.0439832	41319.64	1.0023587
0.0448025	41272.1	1.0023618
0.0456372	41223.91	1.0023646
0.0464873	41175.055	1.0023676
0.0473533	41125.54	1.0023704
0.0482355	41075.344	1.0023731
0.0491341	41024.473	1.0023758
0.0500494	40972.926	1.0023785
0.0509818	40920.684	1.0023811
0.0519315	40867.746	1.0023837
0.0528989	40814.11	1.0023862
0.0538844	40759.77	1.0023886
0.0548882	40704.723	1.0023911
0.0559107	40648.96	1.0023934
0.0569523	40592.477	1.0023957
0.0580132	40535.27	1.002398
0.059094	40477.332	1.0024004
0.0601948	40418.668	1.0024027
0.0613162	40359.26	1.0024048
0.0624584	40299.113	1.0024071
0.063622	40238.215	1.0024092
0.0648072	40176.566	1.0024114
0.0660145	40114.168	1.0024136
0.0672443	40051.008	1.0024158
0.068497	39987.082	1.0024179
0.069773	39922.4	1.0024201
0.0710728	39856.938	1.0024222
0.0723968	39790.703	1.0024244
0.0737455	39723.69	1.0024266
0.0751193	39655.902	1.0024288
0.0765187	39587.332	1.0024309
0.0779442	39517.977	1.0024332
0.0793962	39447.832	1.0024356
0.0808752	39376.9	1.0024378
0.0823819	39305.168	1.0024401
0.0839166	39232.65	1.0024425
0.0854798	39159.336	1.0024449
0.0870722	39085.22	1.0024474
0.0886943	39010.305	1.0024499
0.0903466	38934.59	1.0024524
0.0920297	38858.074	1.002455
0.0937441	38780.758	1.0024577
0.0954904	38702.645	1.0024604
0.0972693	38623.727	1.0024632
0.0990814	38544.004	1.0024661
0.1009272	38463.484	1.002469
0.1028073	38382.156	1.0024719
0.1047225	38300.03	1.0024749
0.1066734	38217.11	1.0024781
0.1086606	38133.387	1.0024812
0.1106848	38048.88	1.0024844
0.1127468	37963.57	1.0024878
0.1148472	37877.465	1.0024911
0.1169866	37790.582	1.0024945
0.119166	37702.906	1.002498
0.1213859	37614.453	1.0025016
0.1236472	37525.223	1.0025052
0.1259506	37435.22	1.0025088
0.128297	37344.44	1.0025125
0.130687	37252.902	1.0025163
0.1331216	37160.61	1.00252
0.1356015	37067.555	1.0025239
0.1381276	36973.758	1.0025277
0.1407008	36879.215	1.0025315
0.1433219	36783.94	1.0025356
0.1459919	36687.94	1.0025394
0.1487115	36591.223	1.0025433
0.1514819	36493.785	1.0025471
0.1543038	36395.656	1.002551
0.1571784	36296.83	1.0025548
0.1601064	36197.316	1.0025585
0.1630891	36097.125	1.0025623
0.1661273	35996.273	1.0025661
0.169222	35894.76	1.0025697
0.1723745	35792.617	1.002573
0.1755856	35689.832	1.0025764
0.1788566	35586.434	1.0025797
0.1821885	35482.43	1.0025827
0.1855825	35377.83	1.0025856
0.1890397	35272.65	1.0025884
0.1925614	35166.902	1.0025911
0.1961486	35060.61	1.0025932
0.1998026	34953.777	1.0025957
0.2035248	34846.426	1.0025975
0.2073162	34738.574	1.002599
0.2111783	34630.227	1.0026004
0.2151123	34521.414	1.0026017
0.2191197	34412.15	1.0026023
0.2232016	34302.445	1.0026026
0.2273597	34192.33	1.0026028
0.2315951	34081.82	1.0026021
0.2359095	33970.93	1.0026019
0.2403043	33859.68	1.0026006
0.2447809	33748.094	1.002599
0.2493409	33636.2	1.0025972
0.2539859	33524.01	1.002595
0.2587174	33411.55	1.0025922
0.2635371	33298.84	1.0025889
0.2684465	33185.906	1.0025856
0.2734474	33072.773	1.0025808
0.2785414	32959.47	1.002575
0.2837304	32846.008	1.0025705
0.289016	32732.424	1.002564
0.2944	32618.74	1.0025584
0.2998844	32504.98	1.0025517
0.305471	32391.174	1.0025445
0.3111616	32277.352	1.0025362
0.3169582	32163.54	1.0025276
0.3228628	32049.76	1.0025188
0.3288774	31936.049	1.002509
0.3350041	31822.43	1.0024996
0.3412449	31708.941	1.0024897
0.3476019	31595.598	1.0024787
0.3540774	31482.441	1.0024681
0.3606735	31369.502	1.0024563
0.3673925	31256.81	1.0024449
0.3742366	31144.389	1.0024337
0.3812083	31032.29	1.0024219
0.3883098	30920.52	1.0024115
0.3955436	30809.125	1.002402
0.4029122	30698.148	1.0023887
0.4104181	30587.602	1.0023751
0.4180637	30477.53	1.0023654
0.4258518	30367.963	1.0023553
0.433785	30258.936	1.002348
0.441866	30150.482	1.0023365
0.4500975	30042.645	1.0023288
0.4584824	29935.441	1.0023233
0.4670234	29828.922	1.002321
0.4757236	29723.1	1.0023133
0.4845859	29618.031	1.0023105
0.4936132	29513.74	1.0023135
0.5028087	29410.273	1.0023131
0.5121755	29307.654	1.0023164
0.5217169	29205.916	1.0023235
0.5314359	29105.102	1.0023313
0.541336	29005.24	1.0023402
0.5514206	28906.355	1.0023608
0.561693	28808.514	1.0023727
0.5721568	28711.713	1.0023979
0.5828155	28616.006	1.0024171
0.5936727	28521.441	1.0024408
0.6047322	28428.01	1.0024811
0.6159978	28335.8	1.0025074
0.6274732	28244.793	1.0025402
0.6391624	28155.047	1.0025839
0.6510694	28066.617	1.0026262
0.6631981	27979.508	1.0026801
0.6755528	27893.75	1.0027212
0.6881377	27809.38	1.0027816
0.700957	27726.441	1.0028386
0.7140151	27644.945	1.0028893
0.7273165	27564.941	1.0029652
0.7408657	27486.465	1.0030229
0.7546673	27409.53	1.0030962
0.768726	27334.17	1.0031681
0.7830465	27260.434	1.0032164
0.7976339	27188.291	1.0033067
0.812493	27117.828	1.0033929
0.8276289	27049.07	1.0034642
0.8430468	26982.018	1.003564
0.8587519	26916.746	1.003633
0.8747496	26853.24	1.0037305
0.8910453	26791.48	1.0037988
0.9076446	26731.617	1.003899
0.9245531	26673.582	1.0039802
0.9417766	26617.463	1.0040628
0.9593209	26563.217	1.0041363
0.9771921	26510.9	1.0042292
0.9953962	26460.545	1.0043164
1.0139395	26412.16	1.0044173
1.0328281	26365.84	1.0044649
1.0520687	26321.508	1.004587
1.0716676	26279.238	1.0046251
1.0916317	26239.043	1.0047286
1.1119677	26200.99	1.0047903
1.1326826	26165.006	1.0048935
1.1537833	26131.227	1.0049502
1.1752771	26099.652	1.004982
1.1971713	26070.203	1.0051243
1.2194734	26042.967	1.0051665
1.242191	26018.018	1.0052288
1.2653318	25995.36	1.0052929
1.2889036	25975.012	1.0053831
1.3129146	25956.926	1.0054442
1.3373729	25941.25	1.0054805
1.3622868	25927.852	1.0055082
1.3876648	25916.926	1.0054784
1.4135156	25908.357	1.005634
1.439848	25902.295	1.0055174
1.4666709	25898.598	1.005774
1.4939935	25897.441	1.0056453
1.5218251	25323.271	1.078
1.5501751	25312.799	1.078
1.5790533	25304.791	1.078
1.6084695	25299.29	1.078
1.6384336	25296.336	1.078
1.668956	25295.984	1.078
1.700047	25298.273	1.078
1.7317171	25303.254	1.078
1.7639773	25310.957	1.078
1.7968384	25321.447	1.078
1.8303117	25334.76	1.078
1.8644085	25350.947	1.078
1.8991406	25370.05	1.078
1.9345197	25392.121	1.078
1.9705578	25417.2	1.078
2.0072673	25445.338	1.078
2.0446607	25476.578	1.078
2.0827506	25510.973	1.078
2.1215502	25548.559	1.078
2.1610725	25589.39	1.078
2.2013311	25633.514	1.078
2.2423397	25680.977	1.078
2.2841122	25731.82	1.078
2.3266629	25786.098	1.078
2.3700063	25843.844	1.078
2.4141571	25905.115	1.078
2.4591304	25969.963	1.078
2.5049415	26038.412	1.078
2.5516061	26110.53	1.078
2.5991399	26186.342	1.078
2.6475593	26265.918	1.078
2.6968806	26349.275	1.0780001
2.7471208	26436.479	1.078
2.7982969	26527.566	1.078
2.8504263	26622.574	1.078
2.9035269	26721.555	1.078
2.9576167	26824.541	1.078
3.0127141	26931.584	1.078
3.0688379	27042.723	1.0780001
3.1260072	27157.998	1.078
3.1842416	27277.445	1.078
3.2435608	27401.111	1.0780001
3.3039851	27529.031	1.078
3.365535	27661.242	1.078
3.4282315	27797.785	1.078
3.492096	27938.691	1.078
3.5571502	28084.006	1.078
3.6234163	28233.75	1.0780001
3.6909169	28387.965	1.078
3.759675	28546.69	1.078
3.8297139	28709.94	1.078
3.9010576	28877.758	1.078
3.9737304	29050.178	1.078
4.047757	29227.223	1.078
4.1231626	29408.914	1.078
4.1999729	29595.273	1.078
4.2782142	29786.336	1.078
4.357913	29982.121	1.078
4.4390965	30182.664	1.078
4.5217924	30387.963	1.078
4.6060288	30598.059	1.078
4.6918345	30812.945	1.0779998
4.7792386	31032.654	1.078
4.868271	31257.182	1.0779998
4.958962	31486.562	1.078
5.0513425	31720.793	1.078
5.1454439	31959.89	1.078
5.2412983	32203.846	1.078
5.3389384	32452.674	1.078
