# T9	Mean Rate	One Sigma
0.001	2.8241007	1.1441256
0.0010186	2.7951324	1.1441455
0.0010376	2.7664063	1.144166
0.0010569	2.7379167	1.1441867
0.0010766	2.709665	1.1442083
0.0010967	2.6816468	1.1442301
0.0011171	2.6538599	1.1442524
0.0011379	2.6263013	1.1442746
0.0011591	2.5989695	1.1442975
0.0011807	2.5718634	1.144321
0.0012027	2.5449789	1.1443447
0.0012251	2.5183163	1.1443694
0.0012479	2.49187	1.1443937
0.0012712	2.4656394	1.144419
0.0012949	2.4396229	1.1444446
0.001319	2.4138188	1.1444709
0.0013436	2.388224	1.1444976
0.0013686	2.3628361	1.1445247
0.0013941	2.3376539	1.1445526
0.0014201	2.3126752	1.1445807
0.0014465	2.2878973	1.1446092
0.0014735	2.2633202	1.144639
0.0015009	2.2389388	1.1446686
0.0015289	2.2147534	1.144699
0.0015573	2.1907625	1.1447304
0.0015864	2.1669626	1.1447618
0.0016159	2.1433523	1.1447942
0.001646	2.1199298	1.144827
0.0016767	2.0966938	1.1448606
0.0017079	2.0736415	1.1448951
0.0017397	2.0507715	1.1449295
0.0017721	2.0280821	1.144965
0.0018051	2.0055718	1.1450012
0.0018388	1.9832385	1.1450381
0.001873	1.9610804	1.1450756
0.0019079	1.9390956	1.145114
0.0019435	1.9172826	1.1451529
0.0019797	1.8956405	1.1451927
0.0020166	1.8741663	1.1452334
0.0020541	1.8528593	1.1452743
0.0020924	1.8317177	1.1453165
0.0021314	1.8107395	1.1453596
0.0021711	1.7899235	1.1454034
0.0022115	1.7692684	1.145448
0.0022527	1.748772	1.1454936
0.0022947	1.7284331	1.1455399
0.0023374	1.7082499	1.1455871
0.002381	1.6882216	1.1456352
0.0024253	1.6683458	1.1456844
0.0024705	1.6486223	1.1457345
0.0025165	1.6290485	1.1457856
0.0025634	1.6096228	1.1458373
0.0026112	1.5903453	1.1458907
0.0026598	1.5712132	1.1459446
0.0027094	1.5522265	1.1460001
0.0027598	1.5333818	1.146056
0.0028112	1.51468	1.1461135
0.0028636	1.4961184	1.146172
0.002917	1.4776963	1.1462313
0.0029713	1.4594129	1.1462926
0.0030266	1.4412651	1.1463541
0.003083	1.4232539	1.1464176
0.0031405	1.4053767	1.1464821
0.003199	1.3876325	1.1465477
0.0032586	1.3700212	1.1466147
0.0033193	1.3525403	1.146683
0.0033811	1.335189	1.1467526
0.0034441	1.317967	1.1468236
0.0035082	1.300872	1.1468959
0.0035736	1.283904	1.1469698
0.0036402	1.2670614	1.1470454
0.003708	1.2503433	1.1471221
0.0037771	1.2337487	1.1472005
0.0038474	1.2172766	1.1472803
0.0039191	1.2009256	1.1473616
0.0039921	1.1846958	1.1474447
0.0040665	1.1685857	1.1475298
0.0041422	1.1525942	1.147616
0.0042194	1.1367205	1.1477042
0.004298	1.1209639	1.1477944
0.0043781	1.1053236	1.147886
0.0044596	1.0897986	1.1479797
0.0045427	1.0743885	1.1480752
0.0046273	1.0590918	1.1481726
0.0047135	1.043908	1.1482717
0.0048013	1.0288368	1.1483732
0.0048908	1.0138772	1.1484767
0.0049819	0.99902874	1.1485823
0.0050747	0.9842899	1.1486897
0.0051692	0.9696614	1.1487997
0.0052655	0.9551416	1.1489117
0.0053636	0.94073015	1.1490262
0.0054636	0.9264265	1.1491427
0.0055653	0.91223	1.1492615
