# T9	Mean Rate	One Sigma
0.0386522	144992.75	1.70925
0.0393723	390674.5	1.2464767
0.0401057	646776.8	1.1390336
0.0408529	913607.1	1.0917143
0.0416139	1191495.4	1.0654365
0.0423891	1480792.1	1.0489898
0.0431788	1781871.0	1.0379549
0.0439832	2095136.1	1.030243
0.0448025	2421016.5	1.0247363
0.0456372	2759979.2	1.0207828
0.0464873	3112520.5	1.0179654
0.0473533	3479183.5	1.0159948
0.0482355	3860551.0	1.0146558
0.0491341	4257254.0	1.0137775
0.0500494	4669972.5	1.0132267
0.0509818	5099443.5	1.0129
0.0519315	5546462.5	1.0127203
0.0528989	6011889.0	1.0126337
0.0538844	6496639.0	1.0126028
0.0548882	7001719.0	1.0126026
0.0559107	7528189.0	1.0126172
0.0569523	8077195.0	1.0126367
0.0580132	8649968.0	1.0126551
0.059094	9247818.0	1.0126696
0.0601948	9872143.0	1.0126785
0.0613162	10524432.0	1.0126817
0.0624584	11206261.0	1.0126797
0.063622	11919290.0	1.0126735
0.0648072	12665299.0	1.0126642
0.0660145	13446136.0	1.0126529
0.0672443	14263753.0	1.0126407
0.068497	15120193.0	1.0126288
0.069773	16017582.0	1.0126182
0.0710728	16958152.0	1.0126095
0.0723968	17944216.0	1.0126034
0.0737455	18978136.0	1.0126003
0.0751193	20062400.0	1.0126005
0.0765187	21199552.0	1.0126042
0.0779442	22392170.0	1.0126114
0.0793962	23642946.0	1.0126219
0.0808752	24954582.0	1.0126354
0.0823819	26329838.0	1.0126517
0.0839166	27771522.0	1.0126703
0.0854798	29282430.0	1.012691
0.0870722	30865410.0	1.0127132
0.0886943	32523322.0	1.0127364
0.0903466	34258988.0	1.0127605
0.0920297	36075212.0	1.0127846
0.0937441	37974810.0	1.0128088
0.0954904	39960530.0	1.0128324
0.0972693	42035064.0	1.012855
0.0990814	44201064.0	1.0128767
0.1009272	46461060.0	1.0128971
0.1028073	48817560.0	1.0129161
0.1047225	51272896.0	1.0129334
0.1066734	53829330.0	1.0129489
0.1086606	56489010.0	1.0129627
0.1106848	59253940.0	1.0129745
0.1127468	62125932.0	1.0129846
0.1148472	65106692.0	1.012993
0.1169866	68197780.0	1.0129995
0.119166	71400500.0	1.0130045
0.1213859	74716040.0	1.0130078
0.1236472	78145370.0	1.0130095
0.1259506	81689220.0	1.0130101
0.128297	85348190.0	1.0130094
0.130687	89122610.0	1.0130075
0.1331216	93012616.0	1.0130045
0.1356015	97018090.0	1.0130008
0.1381276	101138720.0	1.0129963
0.1407008	105373980.0	1.0129911
0.1433219	109723090.0	1.0129853
0.1459919	114185050.0	1.0129791
0.1487115	118758570.0	1.0129726
0.1514819	123442210.0	1.0129658
0.1543038	128234260.0	1.0129588
0.1571784	133132776.0	1.0129517
0.1601064	138135660.0	1.0129447
0.1630891	143240530.0	1.0129375
0.1661273	148444780.0	1.0129306
0.169222	153745650.0	1.0129238
0.1723745	159140080.0	1.0129172
0.1755856	164625040.0	1.0129107
0.1788566	170196980.0	1.0129045
0.1821885	175852450.0	1.0128988
0.1855825	181587660.0	1.0128932
0.1890397	187398770.0	1.0128881
0.1925614	193281730.0	1.0128832
0.1961486	199232270.0	1.0128788
0.1998026	205246140.0	1.0128746
0.2035248	211318800.0	1.012871
0.2073162	217445760.0	1.0128678
0.2111783	223622270.0	1.0128648
0.2151123	229843550.0	1.0128624
0.2191197	236104780.0	1.0128604
0.2232016	242401000.0	1.0128587
0.2273597	248727140.0	1.0128576
0.2315951	255078200.0	1.0128567
0.2359095	261449000.0	1.0128564
0.2403043	267834400.0	1.0128565
0.2447809	274229200.0	1.012857
0.2493409	280628300.0	1.0128578
