# T9	Mean Rate	One Sigma
0.001	3.564132e-11	1.2
0.0010186	4.4647595e-11	1.2
0.0010376	5.5848638e-11	1.2
0.0010569	6.9759074e-11	1.2
0.0010766	8.700929e-11	1.2
0.0010967	1.08370424e-10	1.2
0.0011171	1.3478486e-10	1.2
0.0011379	1.6740176e-10	1.2
0.0011591	2.0762075e-10	1.2
0.0011807	2.5714522e-10	1.2
0.0012027	3.1804326e-10	1.2
0.0012251	3.9282208e-10	1.2000002
0.0012479	4.8452264e-10	1.2
0.0012712	5.9681876e-10	1.2
0.0012949	7.341492e-10	1.2
0.001319	9.018751e-10	1.2
0.0013436	1.1064418e-09	1.2
0.0013686	1.3556192e-09	1.2
0.0013941	1.6587218e-09	1.2
0.0014201	2.02695e-09	1.2
0.0014465	2.473703e-09	1.2
0.0014735	3.0150349e-09	1.2
0.0015009	3.670123e-09	1.2
0.0015289	4.4618416e-09	1.2
0.0015573	5.4174856e-09	1.2
0.0015864	6.5695134e-09	1.2
0.0016159	7.956594e-09	1.2
0.001646	9.624534e-09	1.2
0.0016767	1.1627753e-08	1.2
0.0017079	1.403068e-08	1.2
0.0017397	1.690954e-08	1.2
0.0017721	2.0354404e-08	1.2
0.0018051	2.4471483e-08	1.2
0.0018388	2.9386126e-08	1.2
0.001873	3.524578e-08	1.2
0.0019079	4.2223945e-08	1.2
0.0019435	5.0524157e-08	1.2
0.0019797	6.038541e-08	1.2
0.0020166	7.208754e-08	1.2
0.0020541	8.595832e-08	1.2
0.0020924	1.02380355e-07	1.2
0.0021314	1.2180116e-07	1.2
0.0021711	1.4474159e-07	1.2
0.0022115	1.7180946e-07	1.2
0.0022527	2.0371101e-07	1.2
0.0022947	2.4126797e-07	1.2
0.0023374	2.8543315e-07	1.2
0.002381	3.3731283e-07	1.2
0.0024253	3.9818653e-07	1.2
0.0024705	4.695379e-07	1.2
0.0025165	5.530775e-07	1.2
0.0025634	6.5078245e-07	1.2
0.0026112	7.6493484e-07	1.2
0.0026598	8.981595e-07	1.2
0.0027094	1.0534799e-06	1.2
0.0027598	1.23437e-06	1.2
0.0028112	1.4448209e-06	1.2
0.0028636	1.6894062e-06	1.2
0.002917	1.9733748e-06	1.2
0.0029713	2.3027264e-06	1.2
0.0030266	2.6843331e-06	1.2
0.003083	3.126027e-06	1.2
0.0031405	3.6367671e-06	1.2
0.003199	4.226755e-06	1.2
0.0032586	4.907602e-06	1.2
0.0033193	5.692545e-06	1.2
0.0033811	6.596586e-06	1.2
0.0034441	7.636821e-06	1.2
0.0035082	8.832562e-06	1.2
0.0035736	1.02057875e-05	1.2
0.0036402	1.1781293e-05	1.2
0.003708	1.35871815e-05	1.2
0.0037771	1.5655185e-05	1.2
0.0038474	1.8021132e-05	1.2
0.0039191	2.0725385e-05	1.2
0.0039921	2.3813542e-05	1.2
0.0040665	2.733682e-05	1.2
0.0041422	3.135285e-05	1.2
0.0042194	3.592634e-05	1.2
0.004298	4.1130108e-05	1.2
0.0043781	4.7045556e-05	1.2
0.0044596	5.376402e-05	1.2
0.0045427	6.1388e-05	1.2
0.0046273	7.003156e-05	1.2
0.0047135	7.982281e-05	1.2
0.0048013	9.0904345e-05	1.2
0.0048908	0.00010343544	1.2
0.0049819	0.00011759337	1.2
0.0050747	0.000133576	1.2
0.0051692	0.00015160302	1.2
0.0052655	0.0001719189	1.2
0.0053636	0.00019479488	1.2
0.0054636	0.00022053262	1.2
