#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.009972	2.730000e-04	5.661331e-02	2.381127e-03	7.359731e-04
0.014968	1.161000e-03	5.813381e-02	1.290780e-03	7.557396e-04
0.019964	2.667000e-03	5.998039e-02	1.061161e-03	7.797450e-04
0.024961	4.651000e-03	6.223552e-02	1.020738e-03	8.090617e-04
0.029959	6.927000e-03	6.430815e-02	1.054732e-03	8.360060e-04
0.034957	9.237000e-03	6.535859e-02	1.018756e-03	8.496617e-04
0.039956	1.138000e-02	6.529398e-02	1.003575e-03	8.488217e-04
0.044956	1.408000e-02	6.839831e-02	9.432025e-04	8.891780e-04
0.049954	1.644000e-02	6.977677e-02	1.061456e-03	9.070981e-04
0.054954	1.910000e-02	7.251247e-02	1.088291e-03	9.426621e-04
0.058495	2.036000e-02	7.223272e-02	1.138004e-03	9.390254e-04
