#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.006630	3.948089e-05	5.170000e-02	6.248052e-03	3.308800e-03
0.009940	2.447137e-04	5.140000e-02	3.849866e-03	3.289600e-03
0.014910	1.055832e-03	5.350000e-02	3.868304e-03	3.424000e-03
0.019880	2.402133e-03	5.460000e-02	3.764416e-03	3.494400e-03
0.022360	3.303507e-03	5.650000e-02	3.779611e-03	3.616000e-03
0.029820	6.214733e-03	5.820000e-02	3.856700e-03	3.724800e-03
0.034780	8.324504e-03	5.940000e-02	3.930924e-03	3.801600e-03
0.039790	1.020228e-02	5.890000e-02	3.853555e-03	3.769600e-03
0.044720	1.244805e-02	6.090000e-02	4.078147e-03	3.897600e-03
0.049670	1.387440e-02	5.930000e-02	3.878601e-03	3.795200e-03
