#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.014800	8.256617e-04	4.280000e-02	6.089181e-03	3.475360e-03
0.019600	2.474381e-03	5.830000e-02	8.122215e-03	4.733960e-03
0.024000	3.870194e-03	5.640000e-02	7.468833e-03	4.579680e-03
0.029000	5.510003e-03	5.440000e-02	5.698453e-03	4.417280e-03
0.034800	7.603018e-03	5.420000e-02	5.561398e-03	4.401040e-03
0.039700	1.016792e-02	5.890000e-02	4.930926e-03	4.782680e-03
0.044600	1.213825e-02	5.960000e-02	4.839520e-03	4.839520e-03
0.049500	1.442181e-02	6.190000e-02	5.026280e-03	5.026280e-03
0.054300	1.678838e-02	6.460000e-02	5.245520e-03	5.245520e-03
0.059300	1.958578e-02	6.850000e-02	5.562200e-03	5.562200e-03
0.064300	2.197750e-02	7.090000e-02	5.757080e-03	5.757080e-03
0.074000	2.761188e-02	7.860000e-02	6.382320e-03	6.382320e-03
0.083800	3.208519e-02	8.300000e-02	6.739600e-03	6.739600e-03
0.093600	3.608666e-02	8.670000e-02	7.040040e-03	7.040040e-03
0.103400	3.952236e-02	8.960000e-02	7.275520e-03	7.275520e-03
0.113200	4.305098e-02	9.320000e-02	7.567840e-03	7.567840e-03
0.123000	4.706896e-02	9.820000e-02	7.973840e-03	7.973840e-03
0.133000	5.222463e-02	1.057000e-01	8.582840e-03	8.582840e-03
0.142500	5.527753e-02	1.093000e-01	8.875160e-03	8.875160e-03
0.152500	5.566484e-02	1.079000e-01	8.761480e-03	8.761480e-03
0.162500	5.986266e-02	1.142000e-01	9.273040e-03	9.273040e-03
