# Energy (MeV)    Cross Section (b)    S (MeV b)    Total Error (MeV b)    Systematic Error (MeV b)
0.00765    8.61e-05    0.05604974558138965    0.00270720271158112    0.00270720271158112
0.00885    0.00019    0.0644473159823803    0.0031128053619489684    0.0031128053619489684
0.00886    0.000206    0.06953789592693918    0.0033586803732711624    0.0033586803732711624
0.01015    0.000317    0.061299184652286225    0.002960750618705425    0.002960750618705425
0.0114    0.000496    0.061781675060459916    0.002984054905420214    0.002984054905420214
0.0124    0.00064    0.05913036999151357    0.0028559968705901056    0.0028559968705901056
0.01245    0.000685    0.0624145031754911    0.00301462050337622    0.00301462050337622
0.01255    0.000711    0.06302487764186208    0.0030441015901019387    0.0030441015901019387
0.01365    0.000863    0.0577826127665982    0.002790900196626693    0.002790900196626693
0.0139    0.001027    0.06484836790390718    0.0031321761697587166    0.0031321761697587166
0.015    0.00122    0.0606890529134909    0.0029312812557216105    0.0029312812557216105
0.01505    0.00128    0.06303076865109042    0.0030443861258476674    0.0030443861258476674
0.01515    0.00123    0.05936147072671678    0.0028671590361004206    0.0028671590361004206
0.0162    0.00149    0.05894639438396981    0.002847110848745742    0.002847110848745742
0.0163    0.00165    0.06412385657908318    0.003097182272769718    0.003097182272769718
0.0175    0.00193    0.061389270793484156    0.002965101779325285    0.002965101779325285
0.0176    0.00203    0.06356714361977964    0.003070293036835357    0.003070293036835357
0.01875    0.00229    0.06050762910100648    0.002922518485578613    0.002922518485578613
0.01885    0.00244    0.06357856781636928    0.0030708448255306366    0.0030708448255306366
0.01995    0.00277    0.0624052923045912    0.003014175618311755    0.003014175618311755
0.02005    0.00287    0.06385171193418594    0.003084037686421181    0.003084037686421181
0.02115    0.00324    0.06320993589884204    0.0030530399039140708    0.0030530399039140708
0.0215    0.00349    0.06545784147386427    0.0031616137431876444    0.0031616137431876444
0.02225    0.00361    0.06245221366326633    0.0030164419199357638    0.0030164419199357638
0.02245    0.00377    0.06387976247361933    0.003085392527475814    0.003085392527475814
0.0225    0.00379    0.06388927869031025    0.0027152943443381856    0.0027152943443381856
0.0226    0.00376    0.06273873270466183    0.0026663961399481283    0.0026663961399481283
0.02265    0.00389    0.06457875813822704    0.0027445972208746494    0.0027445972208746494
0.0227    0.00385    0.06359183589869413    0.002702653025694501    0.002702653025694501
0.02275    0.00379    0.06228574972044051    0.002647144363118722    0.002647144363118722
0.02385    0.00448    0.06619585782922806    0.002813323957742193    0.002813323957742193
0.02485    0.00482    0.06511524055495262    0.0027673977235854862    0.0027673977235854862
0.0275    0.0058    0.06352429886753795    0.002699782701870363    0.002699782701870363
0.03005    0.00703    0.06489479531393504    0.0027580288008422394    0.0027580288008422394
0.0301    0.00703    0.06469415911389373    0.002749501762340484    0.002749501762340484
0.03025    0.00728    0.06637894476821049    0.002821105152648946    0.002821105152648946
0.0304    0.00704    0.06360567748717959    0.002703241293205133    0.002703241293205133
0.0325    0.00832    0.06665360898503221    0.0028327783818638693    0.0028327783818638693
0.03495    0.00923    0.06532951836835234    0.0027765045306549743    0.0027765045306549743
0.0353    0.00946    0.06586635617589551    0.0027993201374755593    0.0027993201374755593
0.0362    0.00984    0.0657647127029037    0.002795000289873407    0.002795000289873407
0.03745    0.0106    0.06712805217755191    0.0028529422175459563    0.0028529422175459563
0.0401    0.0116    0.06620139692860223    0.002813559369465595    0.002813559369465595
0.0402    0.0119    0.06766404375558631    0.0028757218596124185    0.0028757218596124185
0.0403    0.0116    0.0657170549569873    0.0027929748356719606    0.0027929748356719606
0.0427    0.0131    0.06829334355303038    0.0029024671010037914    0.0029024671010037914
0.0451    0.01405    0.06795973814957953    0.0028882888713571303    0.0028882888713571303
0.04755    0.0156    0.07041648929471866    0.0029927007950255433    0.0029927007950255433
0.0505    0.017    0.07120570525051735    0.0026844550879445038    0.0026844550879445038
0.055    0.0195    0.0739608068823589    0.0027883224194649304    0.0027883224194649304
0.06    0.0218    0.07532469454207695    0.002839740984236301    0.002839740984236301
0.0645    0.0225    0.07236938720458977    0.002728325897613034    0.002728325897613034
0.0655    0.023    0.07290738945511911    0.0027486085824579903    0.0027486085824579903
0.07    0.0263    0.07848783450909944    0.0029589913609930486    0.0029589913609930486
0.075    0.0279    0.0785510794528726    0.0028906797238657115    0.0028906797238657115
