#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.980000	1.043000e-01	2.786638e-01	9.335236e-03	9.335236e-03
1.255000	1.046000e-01	3.184759e-01	1.066894e-02	1.066894e-02
1.510000	1.038000e-01	3.516201e-01	1.177927e-02	1.177927e-02
1.750000	1.014000e-01	3.758606e-01	1.259133e-02	1.259133e-02
2.000000	9.980000e-02	4.027723e-01	1.349287e-02	1.349287e-02
2.250000	9.860000e-02	4.300521e-01	1.440674e-02	1.440674e-02
2.500000	9.730000e-02	4.557880e-01	1.526890e-02	1.526890e-02
2.750000	9.490000e-02	4.749170e-01	1.590972e-02	1.590972e-02
2.900000	9.370000e-02	4.867910e-01	1.630750e-02	1.630750e-02
3.100000	9.340000e-02	5.088730e-01	1.704725e-02	1.704725e-02
