#E_cm (MeV)    Cross Section (b)   Statistical Error (%)    Systematic Error (%)
0.009972    0.000273    0.040    0.013      
0.014968    0.001161    0.018    0.013  
0.019964    0.002667    0.012    0.013  
0.024961    0.004651    0.010    0.013  
0.029959    0.006927    0.010    0.013  
0.034957    0.009237    0.0086    0.013   
0.039956    0.01138    0.0082    0.013  
0.044956    0.01408    0.0046    0.013  
0.049954    0.01644    0.0079    0.013  
0.054954    0.01910    0.0075    0.013  
0.058495    0.02036    0.0089    0.013  
