#E_cm (MeV)    S (MeV b)    Statistical Error (MeV b)    Systematic Error (%)
0.0148    0.0428    0.0050    0.0812
0.0196    0.0583    0.0066    0.0812
0.0240    0.0564    0.0059    0.0812
0.0290    0.0544    0.0036    0.0812
0.0348    0.0542    0.0034    0.0812
0.0397    0.0589    0.0012    0.0812
0.0446    0.0596    0.00    0.0812
0.0495    0.0619    0.00    0.0812
0.0543    0.0646    0.00    0.0812
0.0593    0.0685    0.00    0.0812
0.0643    0.0709    0.00    0.0812
0.0740    0.0786    0.00    0.0812
0.0838    0.0830    0.00    0.0812
0.0936    0.0867    0.00    0.0812
0.1034    0.0896    0.00    0.0812
0.1132    0.0932    0.00    0.0812
0.1230    0.0982    0.00    0.0812
0.1330    0.1057    0.00    0.0812
0.1425    0.1093    0.00    0.0812
0.1525    0.1079    0.00    0.0812
0.1625    0.1142    0.00    0.0812
