#E_cm (MeV)    Cross Section (b)    Total Error (%)
0.00765    0.0000861    0.0483
0.00885    0.000190    0.0483
0.00886    0.000206    0.0483
0.01015    0.000317    0.0483
0.01140    0.000496    0.0483
0.01240    0.000640    0.0483
0.01245    0.000685    0.0483
0.01255    0.000711    0.0483
0.01365    0.000863    0.0483
0.01390    0.001027    0.0483
0.01500    0.00122    0.0483
0.01505    0.00128    0.0483
0.01515    0.00123    0.0483
0.01620    0.00149    0.0483
0.01630    0.00165    0.0483
0.01750    0.00193    0.0483
0.01760    0.00203    0.0483
0.01875    0.00229    0.0483
0.01885    0.00244    0.0483
0.01995    0.00277    0.0483
0.02005    0.00287    0.0483
0.02115    0.00324    0.0483
0.02150    0.00349    0.0483
0.02225    0.00361    0.0483
0.02245    0.00377    0.0483
0.02250    0.00379    0.0425
0.02260    0.00376    0.0425
0.02265    0.00389    0.0425
0.02270    0.00385    0.0425
0.02275    0.00379    0.0425
0.02385    0.00448    0.0425
0.02485    0.00482    0.0425
0.02750    0.00580    0.0425
0.03005    0.00703    0.0425
0.03010    0.00703    0.0425
0.03025    0.00728    0.0425
0.03040    0.00704    0.0425
0.03250    0.00832    0.0425
0.03495    0.00923    0.0425
0.03530    0.00946    0.0425
0.03620    0.00984    0.0425
0.03745    0.0106    0.0425
0.04010    0.0116    0.0425
0.04020    0.0119    0.0425
0.04030    0.0116    0.0425
0.04270    0.0131    0.0425
0.04510    0.01405    0.0425
0.04755    0.0156    0.0425
0.05050    0.0170    0.0377
0.05500    0.0195    0.0377
0.06000    0.0218    0.0377
0.06450    0.0225    0.0377
0.06550    0.0230    0.0377
0.07000    0.0263    0.0377
0.07500    0.0279    0.0368
