#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.009972	2.704000e-04	5.607414e-02	1.731048e-03	7.289638e-04
0.014968	1.190000e-03	5.958591e-02	1.095474e-03	7.746168e-04
0.019964	2.641000e-03	5.939565e-02	9.291006e-04	7.721434e-04
0.024961	4.481000e-03	5.996073e-02	9.090331e-04	7.794895e-04
0.029959	6.584000e-03	6.112384e-02	9.113194e-04	7.946100e-04
0.034957	8.759000e-03	6.197639e-02	9.064034e-04	8.056930e-04
0.039956	1.091000e-02	6.259730e-02	9.070347e-04	8.137650e-04
0.044956	1.322000e-02	6.422057e-02	8.773574e-04	8.348674e-04
0.049954	1.531000e-02	6.498068e-02	9.276775e-04	8.447489e-04
0.054954	1.735000e-02	6.586866e-02	9.323615e-04	8.562926e-04
0.058495	1.881000e-02	6.673367e-02	1.001561e-03	8.675377e-04
