#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.001620	8.844123e-10	7.400000e-02	1.100000e-02	5.034014e-04
0.001770	1.865751e-09	5.860000e-02	4.900000e-03	3.986395e-04
0.002010	7.449964e-09	6.210000e-02	2.200000e-03	4.224490e-04
0.002260	2.239792e-08	5.950000e-02	2.600000e-03	4.047619e-04
0.002500	5.658854e-08	5.950000e-02	1.600000e-03	4.047619e-04
0.002750	1.302722e-07	5.980000e-02	1.600000e-03	4.068027e-04
0.003000	2.642443e-07	5.910000e-02	1.400000e-03	4.020408e-04
0.003250	4.840873e-07	5.760000e-02	2.000000e-03	3.918367e-04
0.003500	8.616826e-07	5.860000e-02	1.000000e-03	3.986395e-04
0.003750	1.418345e-06	5.850000e-02	1.600000e-03	3.979592e-04
0.003970	2.127466e-06	5.890000e-02	8.000000e-04	4.006803e-04
0.004500	4.854072e-06	5.850000e-02	1.200000e-03	3.979592e-04
0.004980	9.191963e-06	5.900000e-02	1.000000e-03	4.013605e-04
0.005970	2.586805e-05	5.880000e-02	4.000000e-04	4.000000e-04
0.006460	3.916054e-05	5.860000e-02	1.000000e-03	3.986395e-04
0.006970	5.713150e-05	5.820000e-02	6.000000e-04	3.959184e-04
0.007460	7.954591e-05	5.830000e-02	9.000000e-04	3.965986e-04
0.007940	1.069101e-04	5.860000e-02	6.000000e-04	3.986395e-04
0.008480	1.430759e-04	5.840000e-02	9.000000e-04	3.972789e-04
0.008960	1.808479e-04	5.820000e-02	6.000000e-04	3.959184e-04
0.009480	2.288282e-04	5.820000e-02	9.000000e-04	3.959184e-04
0.009980	2.849326e-04	5.890000e-02	6.000000e-04	4.006803e-04
0.010960	4.039787e-04	5.820000e-02	6.000000e-04	3.959184e-04
0.011950	5.544267e-04	5.830000e-02	6.000000e-04	3.965986e-04
0.012930	7.253486e-04	5.810000e-02	6.000000e-04	3.952381e-04
0.013950	9.307558e-04	5.810000e-02	6.000000e-04	3.952381e-04
0.014950	1.166011e-03	5.860000e-02	8.000000e-04	3.986395e-04
