#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.002980	2.444137e-07	5.770000e-02	9.175880e-03	3.692800e-03
0.003980	2.179276e-06	5.930000e-02	5.231017e-03	3.795200e-03
0.004970	8.296099e-06	5.390000e-02	3.987448e-03	3.449600e-03
0.006630	4.192458e-05	5.490000e-02	3.603524e-03	3.513600e-03
0.009940	2.537595e-04	5.330000e-02	3.411200e-03	3.411200e-03
0.011920	4.835307e-04	5.130000e-02	3.283200e-03	3.283200e-03
0.014910	1.055832e-03	5.350000e-02	3.424000e-03	3.424000e-03
0.019880	2.327341e-03	5.290000e-02	3.385600e-03	3.385600e-03
0.022360	3.139794e-03	5.370000e-02	3.436800e-03	3.436800e-03
0.029820	5.883708e-03	5.510000e-02	3.526400e-03	3.526400e-03
0.034780	7.876046e-03	5.620000e-02	3.596800e-03	3.596800e-03
0.039790	9.734608e-03	5.620000e-02	3.596800e-03	3.596800e-03
0.044720	1.189617e-02	5.820000e-02	3.724800e-03	3.724800e-03
0.049670	1.319589e-02	5.640000e-02	3.609600e-03	3.609600e-03
