#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.014800	8.391655e-04	4.350000e-02	6.962502e-03	3.532200e-03
0.019600	2.410718e-03	5.680000e-02	8.051833e-03	4.612160e-03
0.024000	3.822160e-03	5.570000e-02	7.434116e-03	4.522840e-03
0.029000	5.601161e-03	5.530000e-02	5.755287e-03	4.490360e-03
0.034800	7.687184e-03	5.480000e-02	5.661304e-03	4.449760e-03
0.039700	9.701817e-03	5.620000e-02	4.671722e-03	4.563440e-03
0.044600	1.156800e-02	5.680000e-02	4.612160e-03	4.612160e-03
0.049500	1.379274e-02	5.920000e-02	4.807040e-03	4.807040e-03
0.054300	1.637257e-02	6.300000e-02	5.115600e-03	5.115600e-03
0.059300	1.804179e-02	6.310000e-02	5.123720e-03	5.123720e-03
0.064300	2.070659e-02	6.680000e-02	5.424160e-03	5.424160e-03
0.074000	2.459073e-02	7.000000e-02	5.684000e-03	5.684000e-03
0.083800	2.806487e-02	7.260000e-02	5.895120e-03	5.895120e-03
0.093600	3.167468e-02	7.610000e-02	6.179320e-03	6.179320e-03
0.103400	3.431740e-02	7.780000e-02	6.317360e-03	6.317360e-03
0.113200	3.593741e-02	7.780000e-02	6.317360e-03	6.317360e-03
0.123000	3.872884e-02	8.080000e-02	6.560960e-03	6.560960e-03
0.133000	4.170065e-02	8.440000e-02	6.853280e-03	6.853280e-03
0.142500	4.465696e-02	8.830000e-02	7.169960e-03	7.169960e-03
0.152500	4.390248e-02	8.510000e-02	6.910120e-03	6.910120e-03
0.162500	4.791109e-02	9.140000e-02	7.421680e-03	7.421680e-03
