# Energy (MeV)    Cross Section (b)    S (MeV b)    Total Error (MeV b)    Systematic Error (MeV b)
0.00765    8.91e-05    0.05800269838910357    0.00276092844332133    0.00276092844332133
0.00885    0.000195    0.06614329798191661    0.0031484209839392307    0.0031484209839392307
0.00886    0.000209    0.07055058373170044    0.003358207785628941    0.003358207785628941
0.01015    0.000319    0.06168593029678014    0.002936250282126735    0.002936250282126735
0.0114    0.000501    0.062404474204214556    0.002970452972120613    0.002970452972120613
0.0124    0.000629    0.05811406675728442    0.002766229577646739    0.002766229577646739
0.01245    0.000701    0.06387236018396972    0.0030403243447569587    0.0030403243447569587
0.01255    0.000709    0.06284759247268666    0.002991545401699885    0.002991545401699885
0.01365    0.000865    0.057916523804295995    0.0027568265330844897    0.0027568265330844897
0.0139    0.001015    0.06409064598097935    0.0030507147486946175    0.0030507147486946175
0.015    0.00122    0.0606890529134909    0.002888798918682167    0.002888798918682167
0.01505    0.00126    0.062045912890917126    0.0029533854536076556    0.0029533854536076556
0.01515    0.00122    0.05887885714357274    0.0028026336000340625    0.0028026336000340625
0.0162    0.0015    0.05934200776909713    0.0028246795698090234    0.0028246795698090234
0.0163    0.00161    0.06256933884383269    0.002978300528966436    0.002978300528966436
0.0175    0.00192    0.06107119167020185    0.002906988723501608    0.002906988723501608
0.0176    0.00203    0.06356714361977964    0.003025796036301511    0.003025796036301511
0.01875    0.00223    0.058922276373469196    0.002804700355377134    0.002804700355377134
0.01885    0.00237    0.061754592510161965    0.00293951860348371    0.00293951860348371
0.01995    0.00273    0.06150413284892923    0.0029275967236090314    0.0029275967236090314
0.02005    0.00279    0.06207187327399957    0.00295462116784238    0.00295462116784238
0.02115    0.00316    0.061649196740845943    0.002934501764864267    0.002934501764864267
0.0215    0.00342    0.06414493347868648    0.0030532988335854765    0.0030532988335854765
0.02225    0.00357    0.06176022237613872    0.002939786585104203    0.002939786585104203
0.02245    0.00367    0.06218533906583103    0.002960022139533557    0.002960022139533557
0.0225    0.00361    0.06085495938575725    0.002415941887614563    0.002415941887614563
0.0226    0.00371    0.06190444104635516    0.0024576063095403    0.0024576063095403
0.02265    0.00371    0.061590537967306506    0.0024451443573020684    0.0024451443573020684
0.0227    0.00374    0.061774926301588574    0.0024524645741730664    0.0024524645741730664
0.02275    0.00366    0.06014929920232513    0.002387927178332308    0.002387927178332308
0.02385    0.00431    0.06368396143838681    0.0025282532691039564    0.0025282532691039564
0.02485    0.00462    0.0624133633535023    0.0024778105251340413    0.0024778105251340413
0.0275    0.00557    0.061005231843480404    0.002421907704186172    0.002421907704186172
0.03005    0.00671    0.06194083592553401    0.0024590511862437    0.0024590511862437
0.0301    0.00674    0.06202541001815701    0.002462408777720833    0.002462408777720833
0.03025    0.00697    0.06355236882341031    0.0025230290422893894    0.0025230290422893894
0.0304    0.00667    0.060262765460154515    0.002392431788768134    0.002392431788768134
0.0325    0.00793    0.06352922106385885    0.0025221100762351963    0.0025221100762351963
0.03495    0.00879    0.062215218467802494    0.002469944173171759    0.002469944173171759
0.0353    0.00888    0.06182803835538606    0.0024545731227088264    0.0024545731227088264
0.0362    0.00934    0.06242300982165858    0.0024781934899198456    0.0024781934899198456
0.03745    0.0101    0.063961634622007    0.002539276894493678    0.002539276894493678
0.0401    0.011    0.06277718674264005    0.00249225431368281    0.00249225431368281
0.0402    0.0113    0.06425241129732144    0.002550820728503661    0.002550820728503661
0.0403    0.0108    0.061184844270298536    0.002429038317530852    0.002429038317530852
0.0427    0.0123    0.06412275768719647    0.0025456734801816996    0.0025456734801816996
0.0451    0.0133    0.06433199412024254    0.002553980166573629    0.002553980166573629
0.04755    0.0145    0.06545122402393722    0.0025984135937503075    0.0025984135937503075
0.0505    0.0158    0.06617942017401024    0.0024023129523165717    0.0024023129523165717
0.055    0.0182    0.06903008642353498    0.0025057921371743194    0.0025057921371743194
0.06    0.0204    0.0704873288375399    0.0025586900368026982    0.0025586900368026982
0.0645    0.0211    0.06786640311185975    0.0024635504329605087    0.0024635504329605087
0.0655    0.0216    0.06846954835785099    0.002485444605389991    0.002485444605389991
0.07    0.0245    0.07311604355410403    0.002654112381013976    0.002654112381013976
0.075    0.0262    0.07376481296291261    0.0026481567853685628    0.0026481567853685628
