#E_cm (MeV)    Cross Section (b)   Statistical Error (%)    Systematic Error (%)
0.009972    0.0002704    0.028    0.013
0.014968    0.001190    0.013    0.013
0.019964    0.002641    0.0087    0.013
0.024961    0.004481    0.0078    0.013
0.029959    0.006584    0.0073    0.013
0.034957    0.008759    0.0067    0.013
0.039956    0.01091    0.0064    0.013
0.044956    0.01322    0.0042    0.013
0.049954    0.01531    0.0059    0.013
0.054954    0.01735    0.0056    0.013
0.058495    0.01881    0.0075    0.013
