#E_cm (MeV)    S (MeV b)    Total Error (MeV b)
0.00162    0.074    0.011
0.00177    0.0586    0.0049
0.00201    0.0621    0.0022
0.00226    0.0595    0.0026
0.00250    0.0595    0.0016
0.00275    0.0598    0.0016
0.00300    0.0591    0.0014
0.00325    0.0576    0.0020
0.00350    0.0586    0.0010
0.00375    0.0585    0.0016
0.00397    0.0589    0.0008
0.00450    0.0585    0.0012
0.00498    0.0590    0.0010
0.00597    0.0588    0.0004
0.00646    0.0586    0.0010
0.00697    0.0582    0.0006
0.00746    0.0583    0.0009
0.00794    0.0586    0.0006
0.00848    0.0584    0.0009
0.00896    0.0582    0.0006
0.00948    0.0582    0.0009
0.00998    0.0589    0.0006
0.01096    0.0582    0.0006
0.01195    0.0583    0.0006
0.01293    0.0581    0.0006
0.01395    0.0581    0.0006
0.01495    0.0586    0.0008
