#E_cm (MeV)    S (MeV b)    Statistical Error (MeV b)    Systematic Error (%)
0.00298    0.0577    0.0084    0.064
0.00398    0.0593    0.0036    0.064
0.00497    0.0539    0.0020    0.064
0.00663    0.0549    0.0008    0.064
0.00994    0.0533    0.00    0.064
0.01192    0.0513    0.00    0.064
0.01491    0.0535    0.00    0.064
0.01988    0.0529    0.00    0.064
0.02236    0.0537    0.00    0.064
0.02982    0.0551    0.00    0.064
0.03478    0.0562    0.00    0.064
0.03979    0.0562    0.00    0.064
0.04472    0.0582    0.00    0.064
0.04967    0.0564    0.00    0.064
