#E_cm (MeV)    S (MeV b)    Statistical Error (MeV b)    Systematic Error (%)
0.0148    0.0435    0.0060    0.0812
0.0196    0.0568    0.0066    0.0812
0.0240    0.0557    0.0059    0.0812
0.0290    0.0553    0.0036    0.0812
0.0348    0.0548    0.0035    0.0812
0.0397    0.0562    0.0010    0.0812
0.0446    0.0568    0.00    0.0812
0.0495    0.0592    0.00    0.0812
0.0543    0.0630    0.00    0.0812
0.0593    0.0631    0.00    0.0812
0.0643    0.0668    0.00    0.0812
0.0740    0.0700    0.00    0.0812
0.0838    0.0726    0.00    0.0812
0.0936    0.0761    0.00    0.0812
0.1034    0.0778    0.00    0.0812
0.1132    0.0778    0.00    0.0812
0.1230    0.0808    0.00    0.0812
0.1330    0.0844    0.00    0.0812
0.1425    0.0883    0.00    0.0812
0.1525    0.0851    0.00    0.0812
0.1625    0.0914    0.00    0.0812
