#E_cm (MeV)    Cross Section (b)    Total Error (%)
0.00765    0.0000891    0.0476
0.00885    0.000195    0.0476
0.00886    0.000209    0.0476
0.01015    0.000319    0.0476
0.01140    0.000501    0.0476
0.01240    0.000629    0.0476
0.01245    0.000701    0.0476
0.01255    0.000709    0.0476
0.01365    0.000865    0.0476
0.01390    0.001015    0.0476
0.01500    0.00122    0.0476
0.01505    0.00126    0.0476
0.01515    0.00122    0.0476
0.01620    0.00150    0.0476
0.01630    0.00161    0.0476
0.01750    0.00192    0.0476
0.01760    0.00203    0.0476
0.01875    0.00223    0.0476
0.01885    0.00237    0.0476
0.01995    0.00273    0.0476
0.02005    0.00279    0.0476
0.02115    0.00316    0.0476
0.02150    0.00342    0.0476
0.02225    0.00357    0.0476
0.02245    0.00367    0.0476
0.02250    0.00361    0.0397
0.02260    0.00371    0.0397
0.02265    0.00371    0.0397
0.02270    0.00374    0.0397
0.02275    0.00366    0.0397
0.02385    0.00431    0.0397
0.02485    0.00462    0.0397
0.02750    0.00557    0.0397
0.03005    0.00671    0.0397
0.03010    0.00674    0.0397
0.03025    0.00697    0.0397
0.03040    0.00667    0.0397
0.03250    0.00793    0.0397
0.03495    0.00879    0.0397
0.03530    0.00888    0.0397
0.03620    0.00934    0.0397
0.03745    0.0101    0.0397
0.04010    0.0110    0.0397
0.04020    0.0113    0.0397
0.04030    0.0108    0.0397
0.04270    0.0123    0.0397
0.04510    0.0133    0.0397
0.04755    0.0145    0.0397
0.05050    0.0158    0.0363
0.05500    0.0182    0.0363
0.06000    0.0204    0.0363
0.06450    0.0211    0.0363
0.06550    0.0216    0.0363
0.07000    0.0245    0.0363
0.07500    0.0262    0.0359
