#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.002520	8.827172e-12	2.300000e-07	1.007402e-07	1.219000e-08
0.002580	7.199719e-12	1.590000e-07	4.971936e-08	8.427000e-09
0.003160	4.083491e-11	2.370000e-07	4.185548e-08	1.232400e-08
0.003220	4.954381e-11	2.560000e-07	4.026424e-08	1.331200e-08
0.003810	1.253613e-10	2.420000e-07	3.161261e-08	1.258400e-08
0.004180	1.994269e-10	2.330000e-07	1.761266e-08	1.188300e-08
0.004560	3.064387e-10	2.290000e-07	1.901050e-08	1.167900e-08
0.004630	3.623552e-10	2.510000e-07	1.971968e-08	1.280100e-08
0.005190	6.211969e-10	2.490000e-07	2.188613e-08	1.245000e-08
0.005850	1.034234e-09	2.430000e-07	1.930343e-08	1.215000e-08
0.006110	1.289872e-09	2.520000e-07	1.810414e-08	1.260000e-08
0.006460	1.686513e-09	2.620000e-07	1.690604e-08	1.283800e-08
0.006740	1.990071e-09	2.610000e-07	1.823619e-08	1.278900e-08
0.007190	2.632092e-09	2.690000e-07	1.716796e-08	1.318100e-08
0.007800	3.606061e-09	2.730000e-07	1.630352e-08	1.310400e-08
0.008430	4.733414e-09	2.730000e-07	9.263155e-08	1.310400e-08
0.008510	4.726971e-09	2.640000e-07	2.120329e-08	1.267200e-08
0.009110	5.882099e-09	2.620000e-07	4.376796e-08	1.231400e-08
0.009130	6.127607e-09	2.710000e-07	2.287425e-08	1.273700e-08
0.009730	7.472661e-09	2.700000e-07	2.202354e-08	1.269000e-08
0.009840	7.995443e-09	2.790000e-07	2.051125e-08	1.283400e-08
0.010360	1.008495e-08	3.010000e-07	6.352725e-08	1.384600e-08
0.010380	9.603932e-09	2.850000e-07	2.308402e-08	1.311000e-08
0.010550	1.025431e-08	2.900000e-07	5.945000e-08	1.305000e-08
0.010620	1.031144e-08	2.860000e-07	1.976454e-08	1.287000e-08
0.011210	1.213386e-08	2.880000e-07	3.256654e-08	1.267200e-08
0.011230	1.185641e-08	2.800000e-07	1.864892e-08	1.232000e-08
0.011850	1.425439e-08	2.900000e-07	3.352339e-08	1.276000e-08
0.011870	1.427061e-08	2.890000e-07	3.063381e-08	1.242700e-08
0.012340	1.518123e-08	2.770000e-07	2.679313e-08	1.191100e-08
0.012390	1.600926e-08	2.890000e-07	2.791828e-08	1.242700e-08
0.013220	1.964947e-08	3.000000e-07	2.799571e-08	1.260000e-08
0.013220	1.755353e-08	2.680000e-07	2.925231e-08	1.125600e-08
0.013810	2.270710e-08	3.110000e-07	2.558546e-08	1.306200e-08
0.014420	2.350120e-08	2.900000e-07	2.241366e-08	1.189000e-08
0.014550	2.864176e-08	3.460000e-07	2.787907e-08	1.418600e-08
0.014970	2.645320e-08	2.990000e-07	2.694964e-08	1.225900e-08
0.015820	2.827839e-08	2.820000e-07	3.582232e-08	1.128000e-08
0.015890	3.291129e-08	3.250000e-07	2.061553e-08	1.300000e-08
0.016330	3.182594e-08	2.960000e-07	2.324189e-08	1.184000e-08
0.017210	3.775704e-08	3.140000e-07	2.783818e-08	1.224600e-08
0.017230	4.086222e-08	3.390000e-07	1.925603e-08	1.322100e-08
0.017630	3.817411e-08	3.020000e-07	2.151096e-08	1.177800e-08
0.018540	4.532650e-08	3.240000e-07	2.521082e-08	1.231200e-08
0.018560	4.976924e-08	3.550000e-07	1.944171e-08	1.349000e-08
0.019100	4.819035e-08	3.250000e-07	2.266103e-08	1.235000e-08
0.019660	5.139844e-08	3.280000e-07	2.170904e-08	1.213600e-08
0.019910	5.263551e-08	3.280000e-07	2.512534e-08	1.213600e-08
0.019770	5.257597e-08	3.320000e-07	3.334511e-08	1.228400e-08
0.020430	5.201517e-08	3.090000e-07	2.031609e-08	1.112400e-08
0.021230	5.918696e-08	3.280000e-07	1.683535e-08	1.180800e-08
