#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.016100	4.149000e-08	3.980212e-07	1.168450e-07	7.243897e-08
0.016300	3.695000e-08	3.450333e-07	7.544043e-08	6.279529e-08
0.018000	4.802000e-08	3.641517e-07	9.737002e-08	6.627481e-08
0.020100	5.927000e-08	3.628541e-07	1.100133e-07	6.603863e-08
0.022300	7.323000e-08	3.723916e-07	9.250040e-08	6.777445e-08
0.023000	8.099000e-08	3.908457e-07	7.113304e-08	7.113304e-08
0.024100	8.713000e-08	3.894250e-07	9.631709e-08	7.087448e-08
0.026200	1.124000e-07	4.410680e-07	8.821360e-08	8.027339e-08
0.027300	1.133000e-07	4.183621e-07	7.890908e-08	7.614098e-08
0.028100	1.184000e-07	4.194324e-07	8.282373e-08	7.633577e-08
0.031600	1.437000e-07	4.345142e-07	8.907994e-08	7.908061e-08
0.032100	1.317000e-07	3.903580e-07	9.612233e-08	7.104429e-08
