#E_cm (MeV)	Cross Section (b)	S (MeV b)	Total Error (MeV b)	Systematic Error (MeV b)
0.032400	1.317620e-07	3.860000e-07	1.720465e-08	1.000000e-08
0.066700	4.071053e-07	6.270000e-07	1.835756e-08	1.600000e-08
0.099500	6.535567e-07	8.500000e-07	2.247221e-08	2.100000e-08
0.115900	7.701441e-07	9.660000e-07	2.563201e-08	2.400000e-08
0.132900	9.221444e-07	1.133000e-06	3.125700e-08	3.100000e-08
0.149300	1.004741e-06	1.223000e-06	3.157531e-08	3.100000e-08
0.166100	1.132232e-06	1.375000e-06	3.622154e-08	3.600000e-08
0.182700	1.211272e-06	1.475000e-06	3.748333e-08	3.700000e-08
0.199500	1.344782e-06	1.648000e-06	4.310452e-08	4.300000e-08
0.222800	1.442709e-06	1.791000e-06	4.539824e-08	4.500000e-08
0.232900	1.493123e-06	1.866000e-06	5.239275e-08	5.100000e-08
0.252900	1.634742e-06	2.073000e-06	5.336666e-08	5.200000e-08
0.262900	1.686952e-06	2.156000e-06	5.758472e-08	5.400000e-08
