#E_cm (MeV)    S (MeV b)    Statistical Error (MeV b)    Systematic Error (%)
0.00252    0.000000230    0.00000010    0.053
0.00258    0.000000159    0.000000049    0.053
0.00316    0.000000237    0.000000040    0.052
0.00322    0.000000256    0.000000038    0.052
0.00381    0.000000242    0.000000029    0.052
0.00418    0.000000233    0.000000013    0.051
0.00456    0.000000229    0.000000015    0.051
0.00463    0.000000251    0.000000015    0.051
0.00519    0.000000249    0.000000018    0.050
0.00585    0.000000243    0.000000015    0.050
0.00611    0.000000252    0.000000013    0.050
0.00646    0.000000262    0.000000011    0.049
0.00674    0.000000261    0.000000013    0.049
0.00719    0.000000269    0.000000011    0.049
0.00780    0.000000273    0.0000000097    0.048
0.00843    0.000000273    0.0000000917    0.048
0.00851    0.000000264    0.000000017    0.048
0.00911    0.000000262    0.000000042    0.047
0.00913    0.000000271    0.000000019    0.047
0.00973    0.000000270    0.000000018    0.047
0.00984    0.000000279    0.000000016    0.046
0.01036    0.000000301    0.000000062    0.046
0.01038    0.000000285    0.000000019    0.046
0.01055    0.000000290    0.000000058    0.045
0.01062    0.000000286    0.000000015    0.045
0.01121    0.000000288    0.000000030    0.044
0.01123    0.000000280    0.000000014    0.044
0.01185    0.000000290    0.000000031    0.044
0.01187    0.000000289    0.000000028    0.043
0.01234    0.000000277    0.000000024    0.043
0.01239    0.000000289    0.000000025    0.043
0.01322    0.000000300    0.000000025    0.042
0.01322    0.000000268    0.000000027    0.042
0.01381    0.000000311    0.000000022    0.042
0.01442    0.000000290    0.000000019    0.041
0.01455    0.000000346    0.000000024    0.041
0.01497    0.000000299    0.000000024    0.041
0.01582    0.000000282    0.000000034    0.040
0.01589    0.000000325    0.000000016    0.040
0.01633    0.000000296    0.000000020    0.040
0.01721    0.000000314    0.000000025    0.039
0.01723    0.000000339    0.000000014    0.039
0.01763    0.000000302    0.000000018    0.039
0.01854    0.000000324    0.000000022    0.038
0.01856    0.000000355    0.000000014    0.038
0.01910    0.000000325    0.000000019    0.038
0.01966    0.000000328    0.000000018    0.037
0.01991    0.000000328    0.000000022    0.037
0.01977    0.000000332    0.000000031    0.037
0.02043    0.000000309    0.000000017    0.036
0.02123    0.000000328    0.000000012    0.036
