#E_cm (MeV)    Cross Section (b)    Total Error (b)
0.0161    0.00000004149    0.00000001218
0.0163    0.00000003695    0.000000008079
0.018    0.00000004802    0.00000001284
0.0201    0.00000005927    0.00000001797
0.0223    0.00000007323    0.00000001819
0.023    0.00000008099    0.00000001474
0.0241    0.00000008713    0.00000002155
0.0262    0.0000001124    0.00000002248
0.0273    0.0000001133    0.00000002137
0.0281    0.0000001184    0.00000002338
0.0316    0.0000001437    0.00000002946
0.0321    0.0000001317    0.00000003243
