#E_cm (MeV)    S (MeV b)    Statistical Error (MeV b)    Systematic Error (MeV b)
0.0324    0.000000386    0.000000014    0.000000010
0.0667    0.000000627    0.000000009    0.000000016
0.0995    0.000000850    0.000000008    0.000000021
0.1159    0.000000966    0.000000009    0.000000024
0.1329    0.000001133    0.000000004    0.000000031
0.1493    0.000001223    0.000000006    0.000000031
0.1661    0.000001375    0.000000004    0.000000036
0.1827    0.000001475    0.000000006    0.000000037
0.1995    0.000001648    0.000000003    0.000000043
0.2228    0.000001791    0.000000006    0.000000045
0.2329    0.000001866    0.000000012    0.000000051
0.2529    0.000002073    0.000000012    0.000000052
0.2629    0.000002156    0.000000020    0.000000054
