T (K)	Mean Rate	1 sigma
1000000.0	2.522185106790726e-22	3.028770048119355e-23
2000000.0	8.236739254107093e-10	6.119340961737724e-11
3000000.0	1.2394819854290865e-05	6.447911480995261e-07
4000000.0	0.0015740156643800234	6.666794417820612e-05
5000000.0	0.029941476761705978	0.0010478969172169354
6000000.0	0.22185381826185419	0.0060220786537562975
7000000.0	0.9625707524298033	0.01862308185563214
8000000.0	2.9942473518935953	0.0382374046952084
9000000.0	7.464589440262747	0.06579909519573283
10000000.0	15.931577287309086	0.13800890444188718
11000000.0	30.342403618757153	0.3281590386748719
12000000.0	52.99542964117116	0.7045206511642709
13000000.0	86.48998172421217	1.3336467788304867
14000000.0	133.66883390729453	2.2797150785421656
15000000.0	197.5585248762364	3.598338577165985
16000000.0	281.31196808979104	5.332081127905404
18000000.0	521.3485314521214	10.141229151502857
20000000.0	879.730238259976	16.772596214711726
25000000.0	2456.791357443007	40.84442946489968
30000000.0	5283.637667432567	74.79319141365087
40000000.0	15747.823822185013	162.17612741399387
50000000.0	33734.831928698644	240.8564826930702
60000000.0	59906.25854873106	307.0602715592548
70000000.0	94450.7572205742	433.8209214614694
80000000.0	137297.03972430053	686.5180002147935
90000000.0	188230.0151233209	1069.9876258968868
100000000.0	246952.10363144163	1577.133892517138
110000000.0	313118.0042661927	2208.25544944957
120000000.0	386356.9441070132	2967.686277239104
130000000.0	466288.23909793055	3859.5235075637124
140000000.0	552532.3808200803	4885.423852982528
150000000.0	644718.6238405488	6043.970467696529
160000000.0	742489.7579743225	7330.892872186131
180000000.0	953439.6412180143	10261.834265039544
200000000.0	1182859.7394937326	13607.631538867598
250000000.0	1822989.5029244677	23205.224605692965
300000000.0	2535883.823328634	33376.82408108133
350000000.0	3299521.951929937	42805.72802157244
400000000.0	4097547.476723055	50663.54279595519
450000000.0	4918019.521632355	56697.2564213141
500000000.0	5752312.375594118	61097.379264849325
600000000.0	7439237.543115497	66805.57864002475
700000000.0	9126516.429026658	71560.14350884185
800000000.0	10797244.132128889	78070.12256457839
900000000.0	12442243.310523057	87633.67055834598
1000000000.0	14056492.121750891	100597.90758967325
1250000000.0	17943245.137439255	146177.7706255488
1500000000.0	21611398.131858233	203898.98606152905
1750000000.0	25068240.096369106	265326.9330139161
2000000000.0	28328024.60776942	324670.6503121869
2500000000.0	34320134.19168021	427448.9769505774
3000000000.0	39705786.35916117	507865.16411153495
3500000000.0	44577441.50122987	571581.7281110074
4000000000.0	48999266.9557463	624518.1610078211
5000000000.0	56639713.34662202	711927.1902072751
6000000000.0	62800340.88669149	783630.3747915145
7000000000.0	67586273.37584408	841989.9836386909
8000000000.0	71123227.28851624	887301.4920082189
9000000000.0	73567402.85956407	920281.2401511949
10000000000.0	75088235.53936522	942235.6850498144
