T (K)	Mean Rate	1 sigma
1000000.0	1.2177698126187226e-08	8.640170832871733e-10
2000000.0	6.17398902123721e-05	1.2294429460475257e-07
3000000.0	0.0034162375272866184	3.314939955247827e-05
4000000.0	0.04186196707322577	0.0006254716198163428
5000000.0	0.24634851198147004	0.003948138746865137
6000000.0	0.9457900721554938	0.015070931776477565
7000000.0	2.755945537887561	0.04294708219214034
8000000.0	6.635972058020074	0.1008954140842959
9000000.0	13.909298279514276	0.2060054711227503
10000000.0	26.255503968135674	0.37695439580540796
11000000.0	45.682694311703656	0.6304902566569912
12000000.0	74.4888563135981	0.9776763171352685
13000000.0	115.21836244215763	1.4210441857232026
14000000.0	170.61745060966322	1.9532312066857813
15000000.0	243.59075003415916	2.5571156046293617
16000000.0	337.1598761868896	3.2071882149382387
18000000.0	598.5272502937338	4.516548136593121
20000000.0	979.8358034104741	5.615770308805853
25000000.0	2618.2818004967908	7.206296227655405
30000000.0	5510.60954705105	15.747634620909384
40000000.0	16113.821024084275	74.28469540492317
50000000.0	34227.810457525484	195.8076491274294
60000000.0	60449.208498874745	400.0141498211064
70000000.0	94857.1848143312	697.1985496502597
80000000.0	137249.34031637036	1090.3251863771234
90000000.0	187285.82320056227	1580.2166558779452
100000000.0	244566.54592466925	2166.414268244752
110000000.0	308669.0968389	2847.1618110654867
120000000.0	379167.00346545066	3619.6454480592156
130000000.0	455639.20950357226	4480.277350188001
140000000.0	537675.7750157069	5424.8652849874015
150000000.0	624881.776490735	6448.700015117521
160000000.0	716880.0833444642	7546.633204625811
180000000.0	913844.5496115957	9942.6670825911
200000000.0	1125960.86470603	12567.50663618769
250000000.0	1708390.6965928965	19844.322865985043
300000000.0	2344629.739111875	27665.057006027277
350000000.0	3016264.0311913234	35509.690592707375
400000000.0	3711096.69213664	42918.132772550176
450000000.0	4420995.5820367085	49504.972342260866
500000000.0	5140442.424671974	54984.3534092079
600000000.0	6593697.298665315	61983.4076455959
700000000.0	8051070.921726594	63396.27185292164
800000000.0	9501200.822245691	59432.85614129274
900000000.0	10936724.591938378	50556.99423668946
1000000000.0	12352188.835952485	37349.56513537524
1250000000.0	15772825.16924725	18477.018545774536
1500000000.0	18968311.43961613	85430.06605852566
1750000000.0	21871522.759111196	165391.98271359276
2000000000.0	24432178.80896139	249205.54769248702
2500000000.0	28451572.75759511	408054.6381144348
3000000000.0	31085717.487488687	538435.3167716084
3500000000.0	32582899.564662907	635482.003741091
4000000000.0	33224791.903610826	702554.6222520092
5000000000.0	32868363.80595522	769685.7137888692
6000000000.0	31358223.390740134	780652.8877530765
7000000000.0	29402774.452148173	762232.5918586266
8000000000.0	27348704.795353968	729625.5574432532
9000000000.0	25357214.122600187	691096.9670508427
10000000000.0	23497158.50765446	651049.2643444686
